HarmonicOrder_k,Magnitude_abs_ak,PowerPercent,FrequencyOffset_Hz,EquivalentVelocity_mps
-11,0.0578745247606892,0.334946061627563,-2200,-58.2532598127539
-10,0,0,-2000,-52.9575089206854
-9,0.0707355302630646,0.500351524159693,-1800,-47.6617580286169
-8,0,0,-1600,-42.3660071365483
-7,0.0909456817667973,0.827111703202757,-1400,-37.0702562444798
-6,0,0,-1200,-31.7745053524112
-5,0.127323954473516,1.6211389382774,-1000,-26.4787544603427
-4,0,0,-800,-21.1830035682742
-3,0.212206590789194,4.50316371743723,-600,-15.8872526762056
-2,0,0,-400,-10.5915017841371
-1,0.636619772367581,40.5284734569351,-200,-5.29575089206854
0,0,0,0,0
1,0.636619772367581,40.5284734569351,200,5.29575089206854
2,0,0,400,10.5915017841371
3,0.212206590789194,4.50316371743723,600,15.8872526762056
4,0,0,800,21.1830035682742
5,0.127323954473516,1.6211389382774,1000,26.4787544603427
6,0,0,1200,31.7745053524112
7,0.0909456817667973,0.827111703202757,1400,37.0702562444798
8,0,0,1600,42.3660071365483
9,0.0707355302630646,0.500351524159693,1800,47.6617580286169
10,0,0,2000,52.9575089206854
11,0.0578745247606892,0.334946061627563,2200,58.2532598127539
