Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
6,21.5660198652993,20.2224793314653,21.6820621687546,20.169741847807,-358.656459466166
6.008,21.2016577967276,19.9120742979333,21.3218207960458,19.8558042537476,-358.710416501206
6.016,20.837558271756,19.6006502988475,20.9615309968851,19.5408450158704,-358.763092027091
6.024,20.4736987232098,19.2881927011241,20.6011852088637,19.2248500461858,-358.814493977914
6.032,20.1100570983303,18.9746865685664,20.2407757716449,18.9078049832665,-358.864629470236
6.04,19.7466118393976,18.6601166538006,19.8802949314031,18.5896951854746,-358.913504814403
6.048,19.3833418651547,18.3444673899577,19.5197348451129,18.2705057239868,-358.961125524803
6.056,19.0202265529882,18.0277228820828,19.1590875846847,17.9502213756108,-359.007496329095
6.064,18.6572457218431,17.7098668982725,18.7983451409503,17.6288266153837,-359.052621176429
6.072,18.2943796158172,17.3908828605165,18.4374994275014,17.3063056089458,-359.096503244699
6.08,17.931608888423,17.0707538352489,18.0765422843894,16.9826422046865,-359.139144946826
6.088,17.5689145874714,16.7494625235735,17.7154654816789,16.6578199256405,-359.180547936102
6.096,17.2062781405514,16.4269912511853,17.3542607228668,16.3318219611459,-359.220713110634
6.104,16.8436813410852,16.1033219579413,16.9929196481724,16.0046311582369,-359.259640616856
6.112,16.4811063349199,15.7784361870862,16.6314338376879,15.6762300127688,-359.297329852166
6.12,16.1185356074424,15.4523150741261,16.2697948144071,15.3466006602755,-359.333779466684
6.128,15.7559519711836,15.1249393353103,15.9079940471298,15.0157248665275,-359.368987364127
6.136,15.3933385539032,14.7962892557369,15.5460229532414,14.6835840178019,-359.402950701834
6.144,15.030678787113,14.4663446770362,15.1838729013804,14.3501591108403,-359.435665889923
6.152,14.6679563950431,14.1350849846544,14.8215352139801,14.0154307424901,-359.467128589611
6.16,14.3051553840113,13.802489094671,14.4590011697101,13.679379099011,-359.49733371066
6.168,13.9422600321873,13.4685354401802,14.0962620058009,13.3419839450401,-359.526275407993
6.176,13.5792548797354,13.1332019571895,13.7333089202628,13.0032246122046,-359.553947077454
6.184,13.2161247193133,12.7964660700188,13.3701330740037,12.6630799873552,-359.580341350705
6.192,12.8528545869148,12.4583046761941,13.0067255928473,12.321528500428,-359.605450089279
6.2,12.4894297530431,12.1186941307936,12.6430775694494,11.9785481119003,-359.62926437775
6.208,12.1258357141974,11.7776102302496,12.2791800651208,11.6341162998347,-359.651774516052
6.216,11.7620581846602,11.4350281955568,11.9150241115639,11.2882100464997,-359.672970010897
6.224,11.3980830885756,11.0909226548856,11.5506007125076,10.9408058245396,-359.69283956631
6.232,11.0338965522966,10.7452676255517,11.1859008452704,10.5918795826834,-359.711371073255
6.24,10.6694848970079,10.3980364953374,10.8209154622249,10.2414067309759,-359.728551598329
6.248,10.3048346315912,10.0492020031276,10.4556354921918,9.8893621255083,-359.744367371536
6.256,9.93993244574125,9.69873621882655,10.0900518417487,9.53572005263184,-359.758803773085
6.264,9.57476520331011,9.34661052253643,9.72415539646503,9.18045421262951,-359.771845319226
6.272,9.20931993587615,8.99279558294759,9.35793702206077,8.82353770283478,-359.783475647071
6.28,8.84358383652788,8.63726133492,8.99138756549482,8.4649430001616,-359.793677498392
6.288,8.47754425385217,8.27997695624031,8.62449785598331,8.10464194303273,-359.802432702388
6.296,8.1111886861204,7.92091084345302,8.2572587059514,7.74260571267733,-359.809722157333
6.304,7.74450477566142,7.56003058680929,7.8896609119188,7.37880481377787,-359.815525811148
6.312,7.37748030342111,7.19730294423362,7.52169525532458,7.01320905442842,-359.819822640813
6.32,7.01010318369056,6.83269381428155,7.15335250328587,6.64578752539217,-359.822590630591
6.328,6.64236145900485,6.46616820804962,6.78462340930647,6.27650857861667,-359.823806749045
6.336,6.27424329520289,6.09769021999186,6.41549871392158,5.90533980498133,-359.823446924789
6.344,5.90573697664166,5.72722299758562,6.0459691452901,5.53224801124669,-359.821486020944
6.352,5.5368309015568,5.35472870978627,5.67602541973752,5.15719919617079,-359.817897808229
6.36,5.16751357757015,4.98016851422572,5.30565824223978,4.78015852575693,-359.812654936656
6.368,4.79777361733021,4.60350252311916,4.93485830686755,4.40109030759847,-359.805728905789
6.376,4.42759973428847,4.22468976777054,4.56361629717778,4.01995796428173,-359.797090033482
6.384,4.05698073860019,3.84368816164336,4.19192288655904,3.63672400580667,-359.786707423043
6.392,3.68590553314889,3.46045446193196,3.81976873853859,3.25135000098458,-359.774548928783
6.4,3.31436310968881,3.07494422954741,3.44714450703894,2.86379654776857,-359.760581119859
6.408,2.9423425450982,2.68711178745328,3.07404083660222,2.47402324247033,-359.744769242355
6.416,2.5698329977454,2.29691017726253,2.70044836257138,2.08198864781693,-359.727077179517
6.424,2.19682370395674,1.90429111401304,2.32635771123139,1.68765025979496,-359.707467410056
6.432,1.82330397458768,1.50920493907241,1.95175949992121,1.29096447323098,-359.685900964485
6.44,1.44926319169019,1.11160057098136,1.57664433710548,0.891886546052043,-359.662337379291
6.448,1.07469080527487,0.711425454268501,1.20100282241566,0.490370562168028,-359.636734648994
6.456,0.699576330163471,0.308625506023226,0.824825546658466,0.0863693929149576,-359.60904917586
6.464,0.323909342928569,-0.0968549398245383,0.448103091796568,-0.320165343004407,-359.579235717247
6.472,-0.0523205210822519,-0.505073190655164,0.0708260308940094,-0.729283321150866,-359.547247330427
6.48,-0.429123570641275,-0.916088255844232,-0.307015071957268,-1.14103555461993,-359.513035314797
6.488,-0.806510061456981,-1.329960910122,-0.68542966174509,-1.55547443902821,-359.476549151335
6.496,-1.18449019891434,-1.74675375976774,-1.0644271926674,-1.97265379929329,-359.437736439147
6.504,-1.56307414074257,-2.16653131171349,-1.44401712828562,-2.39262893828816,-359.396542829029
6.512,-1.9422719996127,-2.58936004579727,-1.82420894170077,-2.81545668745816,-359.352911953815
6.52,-2.32209384566496,-3.01530849026728,-2.2050121157544,-3.24119545948813,-359.306785355398
6.528,-2.70254970897385,-3.44444730069733,-2.58643614324683,-3.66990530311848,-359.258102408276
6.536,-3.08364958194588,-3.87684934257454,-2.96849052717697,-4.1016479602066,-359.206800239371
6.544,-3.46540342165848,-4.31258977763638,-3.35118478100122,-4.53648692514235,-359.152813644022
6.552,-3.84782115213814,-4.75174615426712,-3.73452842890691,-4.97448750672587,-359.096074997871
6.56,-4.23091266658143,-5.19439850209152,-4.11853100610471,-5.41571689262619,-359.03651416449
6.568,-4.61468782952018,-5.64062943103109,-4.50320205913722,-5.86024421654176,-358.974058398489
6.576,-4.99915647893339,-6.09052423506137,-4.8885511462001,-6.30814062819396,-358.908632243872
6.584,-5.38432842830585,-6.5441710008771,-5.27458783747475,-6.7594793662888,-358.840157427429
6.592,-5.77021346863779,-7.00166072186388,-5.66132171548075,-7.21433583459006,-358.768552746774
6.6,-6.15682137040429,-7.46308741749545,-6.0487623754299,-7.67278768125359,-358.693733952909
6.608,-6.54416188546753,-7.92854825856897,-6.43691942560122,-8.13491488158847,-358.615613626899
6.616,-6.93224474894388,-8.39814369861251,-6.82580248771421,-8.60079982440099,-358.534101050331
6.624,-7.32107968102639,-8.87197761175567,-7.21542119732369,-9.07052740211201,-358.449102069271
6.632,-7.71067638876227,-9.35015743742351,-7.60578520421009,-9.54418510482391,-358.360518951339
6.64,-8.10104456779036,-9.83279433232499,-7.99690417278357,-10.0218631185374,-358.268250235465
6.648,-8.49219390403742,-10.3200033300683,-8.38878778249203,-10.5036544277262,-358.172190573969
6.656,-8.88413407537466,-10.8119035088718,-8.78144572823471,-10.9896549224901,-358.072230566503
6.664,-9.27687475323489,-11.308618167865,-9.17488772077819,-11.4799635105123,-357.96825658537
6.672,-9.67042560419491,-11.8102750124294,-9.56912348717552,-11.9746822340681,-357.860150591766
6.68,-10.0647962915187,-12.3170063491587,-9.96416277118681,-12.4739163923434,-357.74778994236
6.688,-10.4599964766653,-12.8289492909866,-10.3600153337024,-12.9777746693314,-357.631047185679
6.696,-10.8560358207669,-13.346245973077,-10.7566909531616,-13.4863692675946,-357.50978984769
6.704,-11.2529239860661,-13.8690437801382,-11.1541994259752,-13.9998160481993,-357.383880205928
6.712,-11.6506706373261,-14.3974955858307,-11.5525505669391,-14.518234677135,-357.253175051495
6.72,-12.0492854432074,-14.9317600050248,-11.95175420965,-15.0417487785611,-357.117525438183
6.728,-12.4487780776116,-15.4720016596589,-12.3518202069111,-15.5704860952386,-356.976776417953
6.736,-12.8491582209998,-16.0183914590548,-12.7527584311317,-16.1045786565176,-356.830766761945
6.744,-13.2504355616741,-16.5711068955732,-13.1545787747234,-16.6441629542862,-356.679328666101
6.752,-13.6526197970362,-17.1303323565611,-13.5572911504804,-17.1893801272936,-356.522287440475
6.76,-14.0557206348162,-17.6962594535935,-13.9609054919511,-17.7403761542999,-356.359461181223
6.768,-14.4597477942728,-18.2690873701107,-14.3654317538012,-18.297302056512,-356.190660424162
6.776,-14.8647110073646,-18.8490232285969,-14.7708799121548,-18.8603141098123,-356.015687778768
6.784,-15.2706200199011,-19.4362824785327,-15.1772599649233,-19.4295740672954,-355.834337541368
6.792,-15.6774845926604,-20.0310893064827,-15.5845819321173,-20.0052493926709,-355.646395286178
6.8,-16.0853145024857,-20.6336770696363,-15.9928558561363,-20.5875135051174,-355.451637432849
6.808,-16.4941195433558,-21.2442887544391,-16.4020918020344,-21.1765460361994,-355.249830788917
6.816,-16.9039095274308,-21.8631774618226,-16.8122998577659,-21.7725330995112,-355.040732065608
6.824,-17.3146942860752,-22.490606920832,-17.2234901343982,-22.3756675737244,-354.824087365243
6.832,-17.726483670852,-23.1268520324183,-17.6356727663011,-22.9861493997719,-354.599631638434
6.84,-18.1392875545024,-23.7721994454736,-18.0488579113037,-23.60418589294,-354.367088109029
6.848,-18.5531158318926,-24.4269481671343,-18.463055750814,-24.22999207067,-354.126167664758
6.856,-18.9679784209466,-25.0914102096366,-18.878276489906,-24.8637909969324,-353.87656821131
6.864,-19.3838852635506,-25.7659112761453,-19.2945303573735,-25.5058141440652,-353.617973987405
6.872,-19.8008463264376,-26.4507914881401,-19.7118276057386,-26.1563017730404,-353.350054838297
6.88,-20.2188716020511,-27.146406157095,-20.1301785112312,-26.8155033331374,-353.072465444956
6.888,-20.6379711093856,-27.8531266034014,-20.5495933737242,-27.4836778820979,-352.784844505984
6.896,-21.0581548948079,-28.571341025708,-20.970082516643,-28.1610945278548,-352.4868138691
6.904,-21.4794330328557,-29.3014554239967,-21.3916562868465,-28.8480328929992,-352.177977608859
6.912,-21.9018156270146,-30.0438945800093,-21.8143250544885,-29.5447836032146,-351.857921047005
6.92,-22.3253128104792,-30.7991030988203,-22.2380992128853,-30.2516488009488,-351.526209711659
6.928,-22.7499347468871,-31.5675465156563,-22.6629891784016,-30.968942685666,-351.182388231231
6.936,-23.1756916310405,-32.3497124722787,-23.0890053903945,-31.696992082084,-350.825979158762
6.944,-23.6025936896006,-33.1461119675318,-23.5161583112648,-32.4361370378526,-350.456481722069
6.952,-24.0306511817671,-33.9572806869735,-23.9444584266835,-33.186731452193,-350.073370494794
6.96,-24.459874399937,-34.7837804167738,-24.3739162460889,-33.9491437370849,-349.676093983163
6.968,-24.8902736703438,-35.6262005473594,-24.804542303596,-34.7237575126298,-349.264073122984
6.976,-25.3218593536783,-36.4851596726437,-25.2363471594977,-35.5109723382765,-348.836699681035
6.984,-25.7546418456889,-37.3613072909381,-25.6693414026366,-36.3112044816451,-348.393334554751
6.992,-26.1886315777666,-38.2553256140039,-26.1035356539971,-37.1248877267101,-347.933305963763
7,-26.6238390175079,-39.1679314909571,-26.5389405720344,-37.9524742231444,-347.455907526551
7.008,-27.0602746692625,-40.0998784540947,-26.9755668604394,-38.7944353786086,-346.960396215168
7.016,-27.4979490746626,-41.0519588939453,-27.4134252793129,-39.6512627957993,-346.445990180717
7.024,-27.9368728131329,-42.0250063710757,-27.852526661077,-40.5234692559848,-345.911866442057
7.032,-28.3770565023879,-43.0198980724408,-28.2928819329858,-41.411589750714,-345.357158429947
7.04,-28.818510798906,-44.0375574201227,-28.7345021487452,-42.3161825632555,-344.780953378783
7.048,-29.2612463983963,-45.0789568404248,-29.1773985326957,-43.2378304011224,-344.182289557972
7.056,-29.7052740362395,-46.1451207012047,-29.6215825412085,-44.1771415807901,-343.560153335035
7.064,-30.1506044879246,-47.2371284251202,-30.0670659474595,-45.1347512653178,-342.913476062804
7.072,-30.5972485694618,-48.3561177861552,-30.5138609576113,-46.1113227550524,-342.241130783307
7.08,-31.0452171377893,-49.5032883961431,-30.9619803684166,-47.1075488308511,-341.541928741646
7.088,-31.4945210911642,-50.6799053871896,-31.4114377779853,-48.1241531482409,-340.814615703975
7.096,-31.94517136954,-51.8873032946838,-31.8622478618741,-49.1618916794823,-340.057868074856
7.104,-32.3971789549385,-53.1268901439412,-32.3144267236293,-50.2215541985617,-339.270288810997
7.112,-32.8505548718119,-54.4001517413856,-32.7679923186221,-51.3039658013295,-338.450403130426
7.12,-33.3053101873926,-55.7086561683742,-33.2229649258144,-52.409988449152,-337.596654019018
7.128,-33.761456012044,-57.0540584721755,-33.6793675946841,-53.5405225189341,-336.707397539869
7.136,-34.219003499602,-58.4381055440406,-34.1372264136397,-54.6965083345997,-335.780897955561
7.144,-34.6779638477207,-59.8626411685865,-34.5965703293905,-55.8789276440696,-334.815322679134
7.152,-35.1383482982103,-61.3296112214899,-35.0574301189264,-57.0888049900868,-333.80873707672
7.16,-35.6001681373858,-62.8410689835493,-35.5198360619349,-58.3272089011801,-332.759099153836
7.168,-36.0634346964143,-64.3991805280503,-35.9838140479379,-59.5952527985851,-331.664254168364
7.176,-36.5281593516733,-66.0062301245899,-36.4493804705557,-60.894095474463,-330.521929227083
7.184,-36.9943535251147,-67.66462558551,-36.9165373058084,-62.2249409470286,-329.329727939605
7.192,-37.4620286846381,-69.3769034599952,-37.385269721695,-63.5890374475708,-328.085125224643
7.2,-37.9311963444737,-71.1457339548193,-37.8555484090955,-64.9876752705136,-326.785462389654
7.208,-38.4018680655691,-72.973925428159,-38.3273369170589,-66.4221832932671,-325.42794263741
7.216,-38.874055455973,-74.8644282621902,-38.8006015084803,-67.893924312916,-324.009627193783
7.224,-39.3477701712043,-76.8203378685164,-39.2753195647792,-69.4042902802068,-322.527432302688
7.232,-39.8230239145806,-78.8448965139962,-39.7514836275977,-70.9547005684206,-320.978127400584
7.24,-40.2998284374705,-80.941493567417,-40.2291007484734,-72.5466100977388,-319.358334870054
7.248,-40.7781955394055,-83.1136636497541,-40.7081888518732,-74.1815388019835,-317.664531889651
7.256,-41.2581370679581,-85.3650820072855,-41.1887722743423,-75.8611350503039,-315.893055060673
7.264,-41.7396649182331,-87.6995561906242,-41.6708779603371,-77.5872722053156,-314.040108727609
7.272,-42.2227910317328,-90.1210127688771,-42.1545328757446,-79.362139396499,-312.101778262856
7.28,-42.7075273942342,-92.6334772588141,-42.6397625773537,-81.1882448280605,-310.07405013542
7.288,-43.1938860320985,-95.2410445730664,-43.1265906245274,-83.0682705052767,-307.952841459032
