Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
6,18.5034126898901,17.9263344321448,18.5158066837699,18.204514556836,-359.422921742255
6.008,18.1229013153875,17.5767433049452,18.1285577204244,17.8553610959059,-359.453841989558
6.016,17.7420664199438,17.2254517240861,17.7413951699304,17.5045710780677,-359.483385304142
6.024,17.3608979511581,16.8724290026006,17.3542903928498,17.1521176129162,-359.511531051442
6.032,16.9793858610515,16.5176436770286,16.9672155238418,16.7979731705411,-359.538257815977
6.04,16.5975201051495,16.1610634825141,16.5801434362257,16.4421095626046,-359.563543377365
6.048,16.2152906415716,15.802655326946,16.1930477083195,16.0844979227442,-359.587364685374
6.056,15.8326874301248,15.4423852640928,15.8059025914878,15.7251086862843,-359.609697833968
6.064,15.4497004314013,15.0802184657047,15.4186829797575,15.3639115692145,-359.630518034303
6.072,15.0663196058836,14.7161191925114,15.0313643809429,15.0008755464178,-359.649799586628
6.08,14.6825349130515,14.3500507640899,14.6439228891746,14.635968829106,-359.667515851038
6.088,14.298336310498,13.9819755275328,14.2563351587682,14.2691588414364,-359.683639217035
6.096,13.9137137530448,13.6118548248716,13.8685783793404,13.9004121962757,-359.698141071827
6.104,13.5286571918664,13.2396489591912,13.480630252112,13.5296946700653,-359.710991767325
6.112,13.1431565736182,12.8653171593852,13.0924689673404,13.1569711767643,-359.722160585767
6.12,12.7572018395692,12.4888175434749,12.7040731828086,12.7822057408211,-359.731615703906
6.128,12.370782924738,12.1101070804334,12.3154220032886,12.4053614691317,-359.739324155695
6.136,11.9838897570342,11.7291415504425,11.9264949609996,12.0264005219471,-359.745251793408
6.144,11.5965122564077,11.3458755035064,11.5372719969319,11.6452840826802,-359.749363247099
6.152,11.2086403339934,10.9602622163468,11.1477334430146,11.2619723265612,-359.751621882353
6.16,10.8202638912731,10.5722536474887,10.7578600051022,10.8764243881005,-359.751989756216
6.168,10.431372819231,10.1818003904606,10.3676327467202,10.4885983272948,-359.75042757123
6.176,10.0419569975177,9.78885162501001,9.97703307352727,10.09845109453,-359.746894627492
6.184,9.65200629362117,9.39335506623555,9.58604271846375,9.70593849411794,-359.741348772614
6.192,9.26151056203854,8.99525691153783,9.19464372755212,9.31101514640886,-359.733746349499
6.2,8.87045964345144,8.59450178527995,8.8028184463097,8.9136344484086,-359.724042141829
6.208,8.47884336391093,8.19103268104019,8.41054950675107,8.51374853284715,-359.712189317129
6.216,8.08665153402275,7.78479090133661,8.01781981493381,8.11130822561004,-359.698139367314
6.224,7.69387394813554,7.37571599470158,7.62461253906356,7.70626300147175,-359.681842046566
6.232,7.3005003835398,6.96374568996161,7.2309110980521,7.29856093804501,-359.663245306422
6.24,6.906520599662,6.54881582758623,6.83669915060787,6.88814866787087,-359.642295227924
6.248,6.51192433727402,6.13086028795759,6.44196058472966,6.47497132855308,-359.618935950684
6.256,6.11670131769629,5.70981091638727,6.04667950767048,6.05897251085479,-359.593109598691
6.264,5.72084124201515,5.28559744473209,5.65084023627909,5.64009420465619,-359.564756202717
6.272,5.32433379029542,4.85814740940916,5.25442728777598,5.21827674267557,-359.533813619114
6.28,4.92716862080485,4.42738606563566,4.85742537084941,4.7934587418445,-359.500217444831
6.288,4.52933536924058,3.99323629768297,4.45981937714461,4.36557704222663,-359.463900928442
6.296,4.13082364795725,3.55561852493891,4.06159437307945,3.93456664336403,-359.424794876982
6.304,3.73162304520646,3.11445060354584,3.6627355919708,3.50036063792257,-359.382827558339
6.312,3.33172312437354,2.66964772338231,3.26322842649013,3.06289014250801,-359.337924599009
6.32,2.93111342322358,2.22112230012862,2.86305842138102,2.62208422551847,-359.290008876905
6.328,2.52978345315257,1.76878386214901,2.4622112664845,2.17786983187931,-359.239000408996
6.336,2.1277226984393,1.31253893190646,2.06067279001041,1.73017170451456,-359.184816233467
6.344,1.72492061550851,0.852290901601014,1.65842895206037,1.27891230238937,-359.127370286093
6.352,1.32136663219158,0.387939902716689,1.25546583840617,0.824011714955064,-359.066573270525
6.36,0.917050146999392,-0.0806173308732328,0.85176965448282,0.365387572813842,-359.002332522127
6.368,0.51196052839669,-0.553487606602263,0.447326719607053,-0.0970450455850527,-358.934551865001
6.376,0.106087114080695,-1.03078142409688,0.0421234613964643,-0.563373711418153,-358.863131461822
6.384,-0.300580789730545,-1.51261313366449,-0.363853589609695,-1.03368874734209,-358.787967656066
6.392,-0.708053909009021,-1.99910110282058,-0.770617805132053,-1.50808333395511,-358.708952806188
6.4,-1.11634300261868,-2.49036789132513,-1.17818246418259,-1.98665362109772,-358.625975111294
6.408,-1.52545886301317,-2.98654043521895,-1.58656075789565,-2.46949884424898,-358.538918427794
6.416,-1.93541231692722,-3.48775024039399,-1.99576579421292,-2.95672144627358,-358.447662076533
6.424,-2.34621422606126,-3.99413358625716,-2.40581060242101,-3.44842720480994,-358.352080639804
6.432,-2.75787548776264,-4.50583174009143,-2.81670813753561,-3.94472536558279,-358.252043747671
6.44,-3.17040703569612,-5.0229911827495,-3.22847128454917,-4.44572878196327,-358.147415852947
6.448,-3.58381984051156,-5.54576384636674,-3.64111286255836,-4.95155406109568,-358.038055994145
6.456,-3.99812491050376,-6.07430736481742,-4.05464562875797,-5.46232171695105,-357.923817545686
6.464,-4.41333329226475,-6.60878533769236,-4.46908228233608,-5.97815633066786,-357.804547954572
6.472,-4.82945607132947,-7.14936760862297,-4.88443546824616,-6.49918671857428,-357.680088462707
6.48,-5.24650437281557,-7.69623055884331,-5.30071778088419,-7.02554610830784,-357.550273813972
6.488,-5.6644893620536,-8.24955741692025,-5.71794176767986,-7.55737232346648,-357.414931945133
6.496,-6.0834222452113,-8.80953858567747,-6.13611993258829,-8.0948079772533,-357.273883659534
6.504,-6.50331426991031,-9.37637198737225,-6.55526473950418,-8.63800067561066,-357.126942282538
6.512,-6.92417672583086,-9.95026342828606,-6.9753886156038,-9.18710323035887,-356.973913297545
6.52,-7.3460209453149,-10.5314269839569,-7.39650395461365,-9.74227388288866,-356.814593961358
6.528,-7.76885830395496,-11.1200854063628,-7.81862312001852,-10.3036765389924,-356.648772897592
6.536,-8.19270022117796,-11.7164705544629,-8.24175844820554,-10.8714810154455,-356.476229666715
6.544,-8.61755816081606,-12.3208238496,-8.66592225156105,-11.4458632989982,-356.296734311216
6.552,-9.04344363167391,-12.9333967573654,-9.09112682151585,-12.0270058184578,-356.110046874309
6.56,-9.4703681880787,-13.5544512976452,-9.51738443155198,-12.6150977306023,-355.915916890433
6.568,-9.89834343042886,-14.1842605846848,-9.94470734016237,-13.2103352206934,-355.714082845744
6.576,-10.3273810057249,-14.8231093991324,-10.3731077937906,-13.8129218184089,-355.504271606592
6.584,-10.7574926080953,-15.4712947941615,-10.8025980297227,-14.4230687300691,-355.286197813934
6.592,-11.1886899793087,-16.1291267379212,-11.2331902789733,-15.0409951880595,-355.059563241387
6.6,-11.6209849092749,-16.7969287947105,-11.6648967691368,-15.6669288184363,-354.824056114564
6.608,-12.0543892365365,-17.4750388474456,-12.0977297272235,-16.3011060277307,-354.579350389091
6.616,-12.4889148487457,-18.1638098641681,-12.531701382484,-16.9437724100404,-354.325104984578
6.624,-12.9245736831315,-18.8636107115119,-12.9668239692179,-17.595183175558,-354.06096297162
6.632,-13.3613777269526,-19.5748270182834,-13.4031097295743,-18.2556036017414,-353.786550708669
6.64,-13.7993390179391,-20.2978620924791,-13.840570916344,-18.9253095084084,-353.50147692546
6.648,-14.2384696447172,-21.0331378953168,-14.279219795749,-19.6045877581032,-353.2053317494
6.656,-14.6787817472232,-21.7810960760928,-14.7190686502221,-20.2937367831585,-352.89768567113
6.664,-15.120287517105,-22.5421990719127,-15.1601297811889,-20.9930671409469,-352.578088445192
6.672,-15.5629991981019,-23.3169312766202,-15.6024155118426,-21.7029020989028,-352.246067921482
6.68,-16.0069290864168,-24.1058002835228,-16.0459381899178,-22.4235782509652,-351.901128802894
6.688,-16.4520895310674,-24.9093382067821,-16.4907101904609,-23.1554461671828,-351.542751324285
6.696,-16.8984929342246,-25.7281030866662,-16.9367439185936,-23.8988710783085,-351.170389847558
6.704,-17.3461517515323,-26.562680384133,-17.3840518122735,-24.6542335972799,-350.783471367399
6.712,-17.7950784924104,-27.4136845705453,-17.8326463450465,-25.4219304795878,-350.381393921865
6.72,-18.2452857203411,-28.2817608186329,-18.2825400287869,-26.202375424603,-349.963524901708
6.728,-18.6967860531346,-29.1675868011242,-18.7337454164241,-26.9959999200188,-349.52919925201
6.736,-19.1495921631789,-30.0718746037894,-19.1862751046563,-27.8032541316535,-349.077717559389
6.744,-19.6037167776672,-30.9953727599242,-19.6401417366386,-28.6246078409023,-348.608344017743
6.752,-20.0591726788087,-31.9388684135902,-20.0953580046496,-29.4605514322409,-348.120304265219
6.76,-20.5159727040138,-32.9031896191701,-20.5519366527291,-30.3115969331885,-347.612783084844
6.768,-20.974129746064,-33.8892077849952,-21.0098904792775,-31.178279109216,-347.084921961069
6.776,-21.4336567532554,-34.8978402689517,-21.4692323396176,-32.0611566161039,-346.535816484304
6.784,-21.8945667295195,-35.9300531340316,-21.9299751485127,-32.9608132122424,-345.964513595488
6.792,-22.356872734526,-36.9868640717487,-22.3921318826316,-33.8778590333815,-345.370008662777
6.8,-22.8205878837535,-38.0693455011665,-22.8557155829579,-34.8129319322417,-344.751242382587
6.808,-23.2857253485431,-39.1786278509447,-23.3207393571357,-35.7666988853502,-344.107097497598
6.816,-23.7522983561217,-40.3159030312234,-23.7872163817515,-36.739857469281,-343.436395324898
6.824,-24.2203201896001,-41.4824281013622,-24.2551599045386,-37.7331374083225,-342.737892088238
6.832,-24.6898041879462,-42.6795291383467,-24.724583246509,-38.747302195285,-342.010275049599
6.84,-25.1607637459273,-43.9086053091174,-25.195499804001,-39.7831507868419,-341.25215843681
6.848,-25.633212314025,-45.1711331479591,-25.667923050642,-40.8415193743101,-340.462079166066
6.856,-26.1071633983231,-46.4686710373754,-26.1418665392263,-41.9232832302321,-339.638492360948
6.864,-26.5826305603607,-47.8028638873754,-26.6173439035039,-43.0293586303663,-338.779766672985
6.872,-27.0596274169573,-49.1754480037049,-27.0943688598819,-44.1607048498333,-337.884179413252
6.88,-27.5381676400054,-50.588256129977,-27.5729552090387,-45.3183262310606,-336.949911510028
6.888,-28.0182649562278,-52.0432226418045,-28.0531168374554,-46.5032743198389,-335.975042314423
6.896,-28.4999331469047,-53.542388862461,-28.5348677188752,-47.7166500642108,-334.957544284444
6.904,-28.9831860475629,-55.0879084591354,-29.0182219156875,-48.9596060689794,-333.895277588428
6.912,-29.4680375476302,-56.6820528659955,-29.5031935802598,-50.2333488963098,-332.785984681635
6.92,-29.9545015900531,-58.3272166646662,-29.9897969562247,-51.5391414001728,-331.627284925387
6.928,-30.4425921708755,-60.0259228337833,-30.4780463797398,-52.8783050790804,-330.416669337092
6.936,-30.9323233387799,-61.7808277564634,-30.9679562807464,-54.2522224277444,-329.151495582316
6.944,-31.423709194588,-63.5947258471059,-31.4595411842458,-55.6623392637298,-327.828983347482
6.952,-31.916763890719,-65.470553626138,-31.9528157116266,-57.1101669998494,-326.446210264581
6.96,-32.4115016306077,-67.4113930323343,-32.4477945820804,-58.5972848268116,-325.000108598273
6.968,-32.9079366680767,-69.4204737161308,-32.9444926141392,-60.1253417633867,-323.487462951946
6.976,-33.4060833066678,-71.5011740030373,-33.4429247273832,-61.6960585229092,-321.90490930363
6.984,-33.9059558989221,-73.6570201526725,-33.9431059443673,-63.3112291351993,-320.24893574625
6.992,-34.4075688456193,-75.8916834652018,-34.4450513928166,-64.9727222517647,-318.515885380418
7,-34.9109365949639,-78.2089747021367,-34.9487763081455,-66.6824820492778,-316.701961892827
7.008,-35.4160736417255,-80.6128351919525,-35.4542960363497,-68.442528631655,-314.803238449773
7.016,-35.922994526325,-83.1073238827357,-35.9616260373171,-70.2549578144332,-312.815670643589
7.024,-36.4317138338729,-85.6965994847713,-36.4707818885746,-72.1219401563997,-310.735114349102
7.032,-36.9422461931487,-88.3848967176459,-36.9817792894662,-74.0457190824873,-308.557349475503
7.04,-37.4546062755334,-91.1764955428665,-37.4946340656909,-76.0286079187101,-306.278110732667
7.048,-37.9688087938768,-94.075682130865,-38.0093621740203,-78.072985634481,-303.893126663012
7.056,-38.4848685013162,-97.0867001908468,-38.5259797068757,-80.1812910600773,-301.398168310469
7.064,-39.0028001900291,-100.213691198821,-39.044502896153,-82.3560153176864,-298.789108991208
7.072,-39.5226186899298,-103.460622015464,-39.5649481152868,-84.5996921738773,-296.061996674466
7.08,-40.0443388673054,-106.831198421688,-40.0873318778891,-86.9148859903086,-293.213140445618
7.088,-40.5679756233826,-110.328763256115,-40.6116708302467,-89.3041769192357,-290.239212367268
7.096,-41.0935438928359,-113.956178165505,-41.1379817333733,-91.7701429625091,-287.137365727331
7.104,-41.6210586422272,-117.715688536351,-41.6662814277857,-94.315338489426,-283.905370105876
7.112,-42.1505348683785,-121.608772028196,-42.1965867702989,-96.9422687925066,-280.541762840182
7.12,-42.6819875966745,-125.635972338306,-42.7289145261856,-99.6533602536625,-277.046015258369
7.128,-43.215431879293,-129.796721436318,-43.2632811910665,-102.450925697992,-273.418710442975
7.136,-43.7508827933671,-134.089155518433,-43.7997027036917,-105.33712452658,-269.661727274935
7.144,-44.2883554390695,-138.50993227499,-44.3381939922161,-108.313917230264,-265.778423164079
7.152,-44.827864937623,-143.054059568831,-44.8787682725043,-111.383013849976,-261.773805368792
7.16,-45.3694264292336,-147.714747975037,-45.4214359910805,-114.545815737192,-257.654678454196
7.168,-45.9130550709439,-152.483301374701,-45.9662032908328,-117.803349204637,-253.429753696243
7.176,-46.458766034405,-157.34906033316,-46.5130699097856,-121.156187215907,-249.109705701245
7.184,-47.006574503573,-162.299411670611,-47.0620265788522,-124.604347631751,-244.707162832962
7.192,-47.5564956723082,-167.319873874931,-47.6130523979751,-128.147132596877,-240.236621797378
7.2,-48.108544741904,-172.394261575758,-48.1661134993766,-131.782802305703,-235.714283166146
7.208,-48.6627369185176,-177.504923805842,-48.721165523761,-135.507844112353,-231.157813112676
7.216,-49.2190874105159,-182.633042871946,-49.2781633033033,-139.316309460197,-226.586044538569
7.224,-49.777611425729,-187.758980996527,-49.8370796727587,-143.205618470063,-222.018630429202
7.232,-50.3383241686146,-192.862689178241,-50.3979292704395,-147.183947316917,-217.475634990374
7.24,-50.9012408373239,-197.924280607214,-50.9607844061037,-151.246812457034,-212.97696023011
7.248,-51.4663766206747,-202.92502706622,-51.5257681213668,-155.380621387837,-208.541349554455
7.256,-52.033746695025,-207.849038885496,-52.0930228892906,-159.575723455711,-204.184707809529
7.264,-52.6033662210482,-212.685053767097,-52.6626724823955,-163.823850203087,-199.918312453951
7.272,-53.1752503404063,-217.426164059763,-53.2347984628392,-168.116250918611,-195.749086280643
7.28,-53.749414172323,-222.066351536883,-53.8094384231846,-172.443405212552,-191.68306263544
7.288,-54.3258728100476,-226.597420003439,-54.3865982114048,-176.795121698845,-187.728452806608
7.296,-54.9046413172181,-231.009786322767,-54.9662670324622,-181.16071291553,-183.894854994451
7.304,-55.4857347241101,-235.295060335885,-55.5484289817059,-185.529189116093,-180.190674388225
7.312,-56.0691680237842,-239.447455374876,-56.133069664063,-189.889458709912,-176.621712648908
7.32,-56.6549561681142,-243.46380587402,-56.7201790342782,-194.230528742393,-173.191150294094
7.328,-57.2431140637079,-247.343056662497,-57.3097520190667,-198.541698470683,-169.900057401211
7.336,-57.8336565677113,-251.085741080224,-57.9017880906303,-202.812738763838,-166.747915487487
7.344,-58.4265984834965,-254.693578104646,-58.496290474666,-207.034050589012,-163.73302037885
7.352,-59.0219545562346,-258.1691763654,-59.0932653275957,-211.196797146412,-160.852778190835
7.36,-59.6197394683449,-261.51581145944,-59.6927210176236,-215.293006016957,-158.103928008905
7.368,-60.2199678348311,-264.737251922645,-60.294667544878,-219.315639697342,-155.482715912186
7.376,-60.8226541984849,-267.837619307771,-60.8991160932223,-223.258634855446,-152.985034890714
7.384,-61.4278130249793,-270.821274079005,-61.5060786918705,-227.116912338811,-150.606538945974
7.392,-62.0354586978229,-273.692722300043,-62.1155679630692,-230.886361276433,-148.34273639778
7.4,-62.6456055132033,-276.456539692204,-62.7275969349601,-234.563801470471,-146.189065820999
7.408,-63.2582676746904,-279.117310430418,-63.3421789028855,-238.14692868656,-144.140957244272
7.416,-63.8734592878191,-281.679578477419,-63.9593273262927,-241.634247474682,-142.1938808104
7.424,-64.4911943545396,-284.147809540793,-64.5790557516542,-245.024995871638,-140.343384813746
7.432,-65.1114867675396,-286.526361963857,-65.2013777543557,-248.319065845644,-138.585124803683
7.44,-65.7343503044314,-288.819465063815,-65.8263068944015,-251.51692273382,-136.914885240616
