Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
8,-94.2197907597947,13.8616971694124,-94.3405528242768,26.5509977713306,-120.891550595607
8.004,-94.5583870604154,13.414647474464,-94.680117800252,26.031065702029,-120.711183502281
8.008,-94.8976283242759,12.9714735534442,-95.0203423303904,25.5155590366333,-120.535901367024
8.012,-95.2375151736239,12.5320997771334,-95.3612270293016,25.0044172602577,-120.365644289559
8.016,-95.5780482136435,12.0964523034172,-95.7027724942834,24.4975802970579,-120.200352791341
8.02,-95.9192280322354,11.6644590278866,-96.0449793050977,23.9949885318594,-120.039967836957
8.024,-96.2610551997938,11.2360495359439,-96.3878480237434,23.4965828301782,-119.884430853922
8.028,-96.6035302689848,10.8111550563411,-96.7313791942295,23.0023045566854,-119.733683750915
8.032,-96.9466537745199,10.3897084161276,-97.0755733423469,22.5120955921879,-119.587668934535
8.036,-97.2904262329345,9.97164399695423,-97.4204309754409,22.0258983491701,-119.446329324611
8.04,-97.634848142362,9.55689769268973,-97.7659525821807,21.5436557859755,-119.309608368156
8.044,-97.9799199823058,9.14540686831381,-98.1121386323295,21.0653114196697,-119.177450051999
8.048,-98.3256422134146,8.73711032004825,-98.4589895765128,20.5908093376583,-119.049798914171
8.052,-98.6720152772552,8.33194823667481,-98.8065058459883,20.1200942081011,-118.926600054089
8.056,-99.0190395960821,7.92986216202335,-99.1546878524117,19.6531112891976,-118.807799141609
8.06,-99.3667155726133,7.53079495857083,-99.5035359876049,19.1898064373769,-118.693342424982
8.064,-99.7150435897948,7.13469077213364,-99.8530506233227,18.7301261144674,-118.58317673779
8.068,-100.064024010577,6.74149499760911,-100.203232111018,18.2740173938778,-118.477249504895
8.072,-100.413657177682,6.35115424573625,-100.554080781605,17.821427965857,-118.375508747462
8.076,-100.76394341337,5.96361631084209,-100.905596945228,17.3723061418723,-118.277903087101
8.08,-101.114883019214,5.57883013954457,-101.257780891026,16.9266008581498,-118.184381749176
8.084,-101.466476275863,5.19674580037843,-101.610632886889,16.4842616784396,-118.094894565329
8.088,-101.818723442813,4.81731445431698,-101.964153179231,16.0452387960259,-118.009391975257
8.092,-102.171624758173,4.44048832616065,-102.318341992748,15.609483035049,-117.927825027797
8.096,-102.525180438433,4.06622067676444,-102.673199530179,15.1769458511607,-117.85014538134
8.1,-102.879390678233,3.69446577607732,-103.028725972076,14.7475793315659,-117.776305303642
8.104,-103.234255650125,3.32517887696823,-103.384921476555,14.3213361944785,-117.706257671034
8.108,-103.589775504346,2.95831618981367,-103.741786179071,13.8981697880388,-117.63995596711
8.112,-103.945950368577,2.59383485782219,-104.099320192167,13.4780340887156,-117.577354280882
8.116,-104.30278034772,2.23169293307141,-104.457523605246,13.0608836992331,-117.518407304479
8.12,-104.66026552365,1.87184935323689,-104.816396484324,12.646673846058,-117.463070330382
8.124,-105.018405954997,1.5142639189887,-105.175938871802,12.2353603764679,-117.411299248269
8.128,-105.3772016769,1.15889727203658,-105.536150786214,11.826899755236,-117.36305054145
8.132,-105.736652700779,0.805710873799201,-105.897032222001,11.4212490609583,-117.318281282959
8.136,-106.096759014101,0.454666984682537,-106.258583149266,11.0183659820551,-117.276949131321
8.14,-106.457520580146,0.10572864394358,-106.620803513538,10.6182088124646,-117.239012326003
8.144,-106.818937337773,-0.241140349876153,-106.983693235531,10.2207364470501,-117.204429682581
8.148,-107.181009201189,-0.585975457968645,-107.34725221091,9.82590837676048,-117.17316058767
8.152,-107.543736059716,-0.928811419743329,-107.711480310051,9.43368468354271,-117.145164993594
8.156,-107.907117777556,-1.26968227079621,-108.076377377808,9.04402603504426,-117.120403412852
8.16,-108.271154193563,-1.6086213603794,-108.441943233265,8.65689367912187,-117.098836912387
8.164,-108.635845121009,-1.94566136838863,-108.808177669516,8.2722494381621,-117.080427107678
8.168,-109.001190347352,-2.2808343218821,-109.175080453414,7.89005570325281,-117.065136156667
8.172,-109.367189634009,-2.61417161114739,-109.542651325344,7.51027542820218,-117.052926753546
8.176,-109.733842716122,-2.94570400532919,-109.910889998985,7.13287212343507,-117.04376212242
8.18,-110.101149302334,-3.27546166763467,-110.279796161078,6.75780984977023,-117.037606010848
8.184,-110.469109074552,-3.60347417012699,-110.649369471188,6.38505321210171,-117.03442268329
8.188,-110.83772168773,-3.92977050812148,-111.019609561478,6.01456735299109,-117.034176914469
8.192,-111.206986769632,-4.25437911419724,-111.390516036467,5.64631794618862,-117.036833982656
8.196,-111.57690392061,-4.57732787183681,-111.762088472811,5.28027119008514,-117.042359662896
8.2,-111.947472713381,-4.8986441287043,-112.134326419063,4.91639380112026,-117.050720220183
8.204,-112.318692692798,-5.21835470957434,-112.507229395445,4.55465300714302,-117.061882402588
8.208,-112.690563375628,-5.53648592892254,-112.880796893626,4.19501654073808,-117.075813434364
8.212,-113.063084250335,-5.85306360318868,-113.255028376486,3.83745263253954,-117.092481009025
