harmonic_order,spatial_offset_m,coefficient_real,coefficient_imag,amplitude,amplitude_db
-9,-72,-0.0683743018643737,-0.00814417611241785,0.0688576267380061,-23.2409589972362
-8,-64,-0.0322604020294921,0.0979704346874092,0.103145235527117,-19.7310165621678
-7,-56,-0.00287995498037576,0.0195914652727841,0.0198020113176338,-34.0658139121564
-6,-48,-0.00956240869157383,0.0598184006451709,0.060577889660592,-24.3537172033329
-5,-40,-0.0439893443750888,0.0439893443750889,0.0622103274151512,-24.1227502588822
-4,-32,0.0950116819899366,0.108472979225658,0.144199885355873,-16.8207016979256
-3,-24,-0.0242035547723643,-0.129088042702991,0.131337484491321,-17.6322261203412
-2,-16,-0.0836337754367508,0.0802199269674788,0.115887208424711,-18.7192899722117
-1,-8,-0.254918124994907,-0.0287908837515565,0.256538818579401,-11.8169381923872
0,0,-0.12,-0.28,0.304630924234556,-10.3245202378114
1,8,0.748194625699957,0.140975765959033,0.761360206810176,-2.36819651456171
2,16,0.114145141445674,-0.297829149734129,0.318953469564147,-9.9254533849675
3,24,0.0869860167115977,-0.0584263237413945,0.104786461001814,-19.5938965401842
4,32,0.0221963741072691,-0.0743156895947319,0.0775596592530575,-22.2072821519599
5,40,0.0833346100984275,-0.0833346100984275,0.11785293581627,-18.5731918872437
6,48,-0.0736157289086406,-0.0775504935303773,0.106926865611761,-19.4182632726131
7,56,0.0158213398045411,0.0209236804052585,0.0262319498877258,-31.6233885198699
8,64,-0.00260470339468911,-0.016330865073796,0.01653728012198,-35.6307183420396
9,72,0.0208044382275151,-0.0115594472410041,0.023800114925774,-32.4684189164252
