harmonic_order,spatial_offset_m,coefficient_real,coefficient_imag,amplitude,amplitude_db
-15,-120,-0.0424413181578387,0.042441318157839,0.0600210877438071,-24.4339227650768
-14,-112,0,7.81601224113596e-19,7.81601224113596e-19,-313.0406746796
-13,-104,-6.41847686111419e-17,-1.14491749414469e-16,1.31255648280946e-16,-309.03712102623
-12,-96,4.87169428247754e-33,-4.62223186652937e-33,6.71553665836796e-33,-313.07119549054
-11,-88,-0.0578745247606891,0.0578745247606895,0.0818469378324643,-21.7399512871277
-10,-80,-1.04083408558608e-16,1.02852883539368e-16,1.46328642409957e-16,-308.67423834891
-9,-72,-4.85722573273506e-17,-1.38777878078145e-17,5.05159101305033e-17,-311.290741175128
-8,-64,2.49462415948171e-34,1.54074395550979e-33,1.56080858320636e-33,-313.07119549054
-7,-56,-0.0909456817667973,0.0909456817667974,0.128616616593872,-17.8140583842484
-6,-48,-4.85722573273506e-17,4.32689671308514e-17,6.50497325009493e-17,-310.839507466608
-5,-40,-6.93889390390723e-17,-4.16333634234434e-17,8.09207131142367e-17,-310.372141690433
-4,-32,2.49462415948171e-34,1.54074395550979e-33,1.56080858320636e-33,-313.07119549054
-3,-24,-0.212206590789194,0.212206590789194,0.300105438719035,-10.4545226783565
-2,-16,-5.55111512312578e-17,6.96987201973555e-17,8.91033080652387e-17,-310.140662153584
-1,-8,0,2.77555756156289e-17,2.77555756156289e-17,-312.048145041593
0,0,-4.59242549680257e-17,5.55111512312578e-17,7.20452989818754e-17,-310.630397690939
1,8,0.636619772367581,-0.636619772367581,0.900316316157106,-0.912097583963239
2,16,-2.77555756156289e-17,1.12261427095648e-17,2.99399107862801e-17,-311.972522910381
3,24,-1.38777878078145e-17,1.38777878078145e-17,1.96261557335472e-17,-312.33551781955
4,32,2.49462415948171e-34,1.54074395550979e-33,1.56080858320636e-33,-313.07119549054
5,40,0.127323954473516,-0.127323954473516,0.180063263231421,-14.8914976706836
6,48,-3.46944695195361e-17,3.07170018721617e-17,4.63383255983253e-17,-311.424902185505
7,56,2.08166817117217e-17,5.55111512312578e-17,5.92859355033443e-17,-311.015662390499
8,64,2.49462415948171e-34,1.54074395550979e-33,1.56080858320636e-33,-313.07119549054
9,72,0.0707355302630647,-0.0707355302630645,0.100035146239678,-19.9969477727497
10,80,-9.71445146547012e-17,9.11583680418103e-17,1.33217509327954e-16,-308.989022078649
11,88,3.12250225675825e-17,1.75207071073658e-16,1.77967749293392e-16,-307.958531909139
12,96,4.87169428247754e-33,-4.62223186652937e-33,6.71553665836796e-33,-313.07119549054
13,104,0.0489707517205832,-0.0489707517205832,0.0692551012428543,-23.1909646300999
14,112,3.46944695195361e-18,-4.10217717933145e-18,5.37260828304539e-18,-312.863533333127
15,120,1.73472347597681e-17,1.33573707650214e-16,1.34695441382533e-16,-308.952962712914
