outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,0,0,"[0,1/10,5/6,14/15]T"
2,1,2,-8,0,"[0,1/10,5/6,14/15]T"
3,1,3,0,-8,"[0,1/10,5/6,14/15]T"
4,1,4,-8,-8,"[0,1/10,5/6,14/15]T"
5,1,1,0,0,"[0,1/10,5/6,14/15]T"
6,1,2,-8,0,"[0,1/10,5/6,14/15]T"
7,1,3,0,-8,"[0,1/10,5/6,14/15]T"
1,2,2,-8,0,"[0,1/10,5/6,14/15]T"
2,2,1,0,0,"[0,1/10,5/6,14/15]T"
3,2,4,-8,-8,"[0,1/10,5/6,14/15]T"
4,2,3,0,-8,"[0,1/10,5/6,14/15]T"
5,2,2,-8,0,"[0,1/10,5/6,14/15]T"
6,2,1,0,0,"[0,1/10,5/6,14/15]T"
7,2,4,-8,-8,"[0,1/10,5/6,14/15]T"
1,3,3,0,-8,"[0,1/10,5/6,14/15]T"
2,3,4,-8,-8,"[0,1/10,5/6,14/15]T"
3,3,1,0,0,"[0,1/10,5/6,14/15]T"
4,3,2,-8,0,"[0,1/10,5/6,14/15]T"
5,3,3,0,-8,"[0,1/10,5/6,14/15]T"
6,3,4,-8,-8,"[0,1/10,5/6,14/15]T"
7,3,1,0,0,"[0,1/10,5/6,14/15]T"
1,4,4,-8,-8,"[0,1/10,5/6,14/15]T"
2,4,3,0,-8,"[0,1/10,5/6,14/15]T"
3,4,2,-8,0,"[0,1/10,5/6,14/15]T"
4,4,1,0,0,"[0,1/10,5/6,14/15]T"
5,4,4,-8,-8,"[0,1/10,5/6,14/15]T"
6,4,3,0,-8,"[0,1/10,5/6,14/15]T"
7,4,2,-8,0,"[0,1/10,5/6,14/15]T"
1,5,1,0,0,"[0,1/10,5/6,14/15]T"
2,5,2,-8,0,"[0,1/10,5/6,14/15]T"
3,5,3,0,-8,"[0,1/10,5/6,14/15]T"
4,5,4,-8,-8,"[0,1/10,5/6,14/15]T"
5,5,1,0,0,"[0,1/10,5/6,14/15]T"
6,5,2,-8,0,"[0,1/10,5/6,14/15]T"
7,5,3,0,-8,"[0,1/10,5/6,14/15]T"
1,6,2,-8,0,"[0,1/10,5/6,14/15]T"
2,6,1,0,0,"[0,1/10,5/6,14/15]T"
3,6,4,-8,-8,"[0,1/10,5/6,14/15]T"
4,6,3,0,-8,"[0,1/10,5/6,14/15]T"
5,6,2,-8,0,"[0,1/10,5/6,14/15]T"
6,6,1,0,0,"[0,1/10,5/6,14/15]T"
7,6,4,-8,-8,"[0,1/10,5/6,14/15]T"
1,7,3,0,-8,"[0,1/10,5/6,14/15]T"
2,7,4,-8,-8,"[0,1/10,5/6,14/15]T"
3,7,1,0,0,"[0,1/10,5/6,14/15]T"
4,7,2,-8,0,"[0,1/10,5/6,14/15]T"
5,7,3,0,-8,"[0,1/10,5/6,14/15]T"
6,7,4,-8,-8,"[0,1/10,5/6,14/15]T"
7,7,1,0,0,"[0,1/10,5/6,14/15]T"
