outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-9,21,"[0,1/10,5/6,14/15]T"
2,1,2,0,16,"[0,1/10,5/6,14/15]T"
3,1,3,-4,10,"[0,1/10,5/6,14/15]T"
4,1,1,-9,21,"[0,1/10,5/6,14/15]T"
5,1,2,0,16,"[0,1/10,5/6,14/15]T"
6,1,3,-4,10,"[0,1/10,5/6,14/15]T"
7,1,1,-9,21,"[0,1/10,5/6,14/15]T"
1,2,2,0,16,"[0,1/10,5/6,14/15]T"
2,2,1,-9,21,"[0,1/10,5/6,14/15]T"
3,2,1,-9,21,"[0,1/10,5/6,14/15]T"
4,2,3,-4,10,"[0,1/10,5/6,14/15]T"
5,2,3,-4,10,"[0,1/10,5/6,14/15]T"
6,2,2,0,16,"[0,1/10,5/6,14/15]T"
7,2,2,0,16,"[0,1/10,5/6,14/15]T"
1,3,3,-4,10,"[0,1/10,5/6,14/15]T"
2,3,3,-4,10,"[0,1/10,5/6,14/15]T"
3,3,2,0,16,"[0,1/10,5/6,14/15]T"
4,3,2,0,16,"[0,1/10,5/6,14/15]T"
5,3,1,-9,21,"[0,1/10,5/6,14/15]T"
6,3,1,-9,21,"[0,1/10,5/6,14/15]T"
7,3,3,-4,10,"[0,1/10,5/6,14/15]T"
1,4,1,-9,21,"[0,1/10,5/6,14/15]T"
2,4,2,0,16,"[0,1/10,5/6,14/15]T"
3,4,3,-4,10,"[0,1/10,5/6,14/15]T"
4,4,1,-9,21,"[0,1/10,5/6,14/15]T"
5,4,2,0,16,"[0,1/10,5/6,14/15]T"
6,4,3,-4,10,"[0,1/10,5/6,14/15]T"
7,4,1,-9,21,"[0,1/10,5/6,14/15]T"
1,5,2,0,16,"[0,1/10,5/6,14/15]T"
2,5,1,-9,21,"[0,1/10,5/6,14/15]T"
3,5,1,-9,21,"[0,1/10,5/6,14/15]T"
4,5,3,-4,10,"[0,1/10,5/6,14/15]T"
5,5,3,-4,10,"[0,1/10,5/6,14/15]T"
6,5,2,0,16,"[0,1/10,5/6,14/15]T"
7,5,2,0,16,"[0,1/10,5/6,14/15]T"
1,6,3,-4,10,"[0,1/10,5/6,14/15]T"
2,6,3,-4,10,"[0,1/10,5/6,14/15]T"
3,6,2,0,16,"[0,1/10,5/6,14/15]T"
4,6,2,0,16,"[0,1/10,5/6,14/15]T"
5,6,1,-9,21,"[0,1/10,5/6,14/15]T"
6,6,1,-9,21,"[0,1/10,5/6,14/15]T"
7,6,3,-4,10,"[0,1/10,5/6,14/15]T"
1,7,1,-9,21,"[0,1/10,5/6,14/15]T"
2,7,2,0,16,"[0,1/10,5/6,14/15]T"
3,7,3,-4,10,"[0,1/10,5/6,14/15]T"
4,7,1,-9,21,"[0,1/10,5/6,14/15]T"
5,7,2,0,16,"[0,1/10,5/6,14/15]T"
6,7,3,-4,10,"[0,1/10,5/6,14/15]T"
7,7,1,-9,21,"[0,1/10,5/6,14/15]T"
