outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,16.487077406371,16.5922011883811,"[0,1/10,5/6,14/15]T"
2,1,4,34.5580614492743,16.5922011883811,"[0,1/10,5/6,14/15]T"
3,1,1,16.487077406371,16.5922011883811,"[0,1/10,5/6,14/15]T"
4,1,4,34.5580614492743,16.5922011883811,"[0,1/10,5/6,14/15]T"
1,2,2,24.7781153594509,23.0865543901354,"[0,1/10,5/6,14/15]T"
2,2,3,31.1238010829585,23.0865543901354,"[0,1/10,5/6,14/15]T"
3,2,2,24.7781153594509,23.0865543901354,"[0,1/10,5/6,14/15]T"
4,2,3,31.1238010829585,23.0865543901354,"[0,1/10,5/6,14/15]T"
1,3,3,31.1238010829585,23.0865543901354,"[0,1/10,5/6,14/15]T"
2,3,2,24.7781153594509,23.0865543901354,"[0,1/10,5/6,14/15]T"
3,3,3,31.1238010829585,23.0865543901354,"[0,1/10,5/6,14/15]T"
4,3,2,24.7781153594509,23.0865543901354,"[0,1/10,5/6,14/15]T"
1,4,4,34.5580614492743,16.5922011883811,"[0,1/10,5/6,14/15]T"
2,4,1,16.487077406371,16.5922011883811,"[0,1/10,5/6,14/15]T"
3,4,4,34.5580614492743,16.5922011883811,"[0,1/10,5/6,14/15]T"
4,4,1,16.487077406371,16.5922011883811,"[0,1/10,5/6,14/15]T"
