channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,16.487077406371,16.5922011883811,4,0.25,-65948309.6254838,88.4917396713657,1,4.48707740637095,4.59220118838108
2,24.7781153594509,23.0865543901354,4,0.25,-99112461.4378034,123.128290080722,1,12.7781153594509,11.0865543901354
3,31.1238010829585,23.0865543901354,4,0.25,-124495204.331834,123.128290080722,1,19.1238010829585,11.0865543901354
4,34.5580614492743,16.5922011883811,4,0.25,-138232245.797097,88.4917396713658,1,22.5580614492743,4.59220118838108
1,10.5580614492743,7.40779881161892,4,0.25,-42232245.7970972,39.5082603286343,2,22.5580614492743,-4.59220118838108
2,7.12380108295854,0.913445609864562,4,0.25,-28495204.3318342,4.87170991927766,2,19.1238010829585,-11.0865543901354
3,0.778115359450851,0.91344560986456,4,0.25,-3112461.4378034,4.87170991927765,2,12.7781153594509,-11.0865543901354
4,-7.51292259362904,7.40779881161892,4,0.25,30051690.3745162,39.5082603286342,2,4.48707740637096,-4.59220118838108
1,7.51292259362905,-7.40779881161892,4,0.25,-30051690.3745162,-39.5082603286343,3,-4.48707740637095,4.59220118838108
2,-0.778115359450846,-0.913445609864562,4,0.25,3112461.43780338,-4.87170991927766,3,-12.7781153594508,11.0865543901354
3,-7.12380108295854,-0.91344560986456,4,0.25,28495204.3318342,-4.87170991927765,3,-19.1238010829585,11.0865543901354
4,-10.5580614492743,-7.40779881161891,4,0.25,42232245.7970972,-39.5082603286342,3,-22.5580614492743,4.59220118838109
1,-34.5580614492743,-16.5922011883811,4,0.25,138232245.797097,-88.4917396713658,4,-22.5580614492743,-4.59220118838108
2,-31.1238010829585,-23.0865543901354,4,0.25,124495204.331834,-123.128290080722,4,-19.1238010829585,-11.0865543901354
3,-24.7781153594509,-23.0865543901354,4,0.25,99112461.4378034,-123.128290080722,4,-12.7781153594509,-11.0865543901354
4,-16.487077406371,-16.5922011883811,4,0.25,65948309.6254839,-88.4917396713658,4,-4.48707740637096,-4.59220118838109
