outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,19,12,"[0,1/10,5/6,14/15]T"
2,1,4,29.0555301821903,30.2786457431724,"[0,1/10,5/6,14/15]T"
3,1,1,19,12,"[0,1/10,5/6,14/15]T"
4,1,4,29.0555301821903,30.2786457431724,"[0,1/10,5/6,14/15]T"
1,2,2,24.6866668412979,14.8369851000513,"[0,1/10,5/6,14/15]T"
2,2,3,28.6740686759171,21.1090852334799,"[0,1/10,5/6,14/15]T"
3,2,2,24.6866668412979,14.8369851000513,"[0,1/10,5/6,14/15]T"
4,2,3,28.6740686759171,21.1090852334799,"[0,1/10,5/6,14/15]T"
1,3,3,28.6740686759171,21.1090852334799,"[0,1/10,5/6,14/15]T"
2,3,2,24.6866668412979,14.8369851000513,"[0,1/10,5/6,14/15]T"
3,3,3,28.6740686759171,21.1090852334799,"[0,1/10,5/6,14/15]T"
4,3,2,24.6866668412979,14.8369851000513,"[0,1/10,5/6,14/15]T"
1,4,4,29.0555301821903,30.2786457431724,"[0,1/10,5/6,14/15]T"
2,4,1,19,12,"[0,1/10,5/6,14/15]T"
3,4,4,29.0555301821903,30.2786457431724,"[0,1/10,5/6,14/15]T"
4,4,1,19,12,"[0,1/10,5/6,14/15]T"
