channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,19,12,4,0.25,-76000000,64,1,7,0
2,24.6866668412979,14.8369851000513,4,0.25,-98746667.3651915,79.1305872002736,1,12.6866668412979,2.8369851000513
3,28.6740686759171,21.1090852334799,4,0.25,-114696274.703668,112.581787911893,1,16.6740686759171,9.10908523347986
4,29.0555301821903,30.2786457431724,4,0.25,-116222120.728761,161.486110630253,1,17.0555301821903,18.2786457431724
1,-12,19,4,0.25,48000000,101.333333333333,2,4.28626379701574e-16,7
2,-14.8369851000513,24.6866668412979,4,0.25,59347940.4002052,131.662223153589,2,-2.8369851000513,12.6866668412979
3,-21.1090852334799,28.6740686759171,4,0.25,84436340.9339194,152.928366271558,2,-9.10908523347986,16.6740686759171
4,-30.2786457431724,29.0555301821903,4,0.25,121114582.97269,154.962827638349,2,-18.2786457431724,17.0555301821903
1,5,-12,4,0.25,-20000000,-64,3,-7,8.57252759403147e-16
2,-0.686666841297871,-14.8369851000513,4,0.25,2746667.36519148,-79.1305872002736,3,-12.6866668412979,-2.8369851000513
3,-4.67406867591708,-21.1090852334799,4,0.25,18696274.7036683,-112.581787911893,3,-16.6740686759171,-9.10908523347985
4,-5.05553018219034,-30.2786457431724,4,0.25,20222120.7287614,-161.486110630253,3,-17.0555301821903,-18.2786457431724
1,-12,-19,4,0.25,48000000,-101.333333333333,4,-1.28587913910472e-15,-7
2,-9.1630148999487,-24.6866668412979,4,0.25,36652059.5997948,-131.662223153589,4,2.8369851000513,-12.6866668412979
3,-2.89091476652015,-28.6740686759171,4,0.25,11563659.0660806,-152.928366271558,4,9.10908523347985,-16.6740686759171
4,6.2786457431724,-29.0555301821903,4,0.25,-25114582.9726896,-154.962827638349,4,18.2786457431724,-17.0555301821903
