outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,4.6434890351652,-9.99138953656283,"[0,1/10,5/6,14/15]T"
2,1,4,-7.95897639048924,2.56199183632776,"[0,1/10,5/6,14/15]T"
3,1,1,4.6434890351652,-9.99138953656283,"[0,1/10,5/6,14/15]T"
4,1,4,-7.95897639048924,2.56199183632776,"[0,1/10,5/6,14/15]T"
1,2,2,8.78039156410037,-4.39824475086056,"[0,1/10,5/6,14/15]T"
2,2,3,-1.44443257081619,-3.471507830157,"[0,1/10,5/6,14/15]T"
3,2,2,8.78039156410037,-4.39824475086056,"[0,1/10,5/6,14/15]T"
4,2,3,-1.44443257081619,-3.471507830157,"[0,1/10,5/6,14/15]T"
1,3,3,-1.44443257081619,-3.471507830157,"[0,1/10,5/6,14/15]T"
2,3,2,8.78039156410037,-4.39824475086056,"[0,1/10,5/6,14/15]T"
3,3,3,-1.44443257081619,-3.471507830157,"[0,1/10,5/6,14/15]T"
4,3,2,8.78039156410037,-4.39824475086056,"[0,1/10,5/6,14/15]T"
1,4,4,-7.95897639048924,2.56199183632776,"[0,1/10,5/6,14/15]T"
2,4,1,4.6434890351652,-9.99138953656283,"[0,1/10,5/6,14/15]T"
3,4,4,-7.95897639048924,2.56199183632776,"[0,1/10,5/6,14/15]T"
4,4,1,4.6434890351652,-9.99138953656283,"[0,1/10,5/6,14/15]T"
