channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-22.5,7.5,2,0.0408163265306122,90000000,40
2,-22.5,0,2,0.0408163265306122,90000000,0
3,-22.5,-7.5,2,0.0408163265306122,90000000,-40
4,-15,7.5,2,0.0408163265306122,60000000,40
5,-15,0,2,0.0408163265306122,60000000,0
6,-15,-7.5,2,0.0408163265306122,60000000,-40
7,-7.5,7.5,2,0.0408163265306122,30000000,40
8,-7.5,0,2,0.0408163265306122,30000000,0
9,-7.5,-7.5,2,0.0408163265306122,30000000,-40
10,0,22.5,2,0.0408163265306122,-0,120
11,0,15,2,0.0408163265306122,-0,80
12,0,7.5,2,0.0408163265306122,-0,40
13,0,0,2,0.0408163265306122,-0,0
14,0,-7.5,2,0.0408163265306122,-0,-40
15,0,-15,2,0.0408163265306122,-0,-80
16,0,-22.5,2,0.0408163265306122,-0,-120
17,7.5,15,2,0.0408163265306122,-30000000,80
18,7.5,7.5,2,0.0408163265306122,-30000000,40
19,7.5,0,2,0.0408163265306122,-30000000,0
20,7.5,-7.5,2,0.0408163265306122,-30000000,-40
21,7.5,-15,2,0.0408163265306122,-30000000,-80
22,15,7.5,2,0.0408163265306122,-60000000,40
23,15,0,2,0.0408163265306122,-60000000,0
24,15,-7.5,2,0.0408163265306122,-60000000,-40
25,22.5,0,1,0.0204081632653061,-90000000,0
