channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-22.5,15,2,0.0408163265306122,90000000,80
2,-22.5,7.5,2,0.0408163265306122,90000000,40
3,-15,22.5,2,0.0408163265306122,60000000,120
4,-15,15,2,0.0408163265306122,60000000,80
5,-15,7.5,2,0.0408163265306122,60000000,40
6,-15,0,2,0.0408163265306122,60000000,0
7,-7.5,22.5,2,0.0408163265306122,30000000,120
8,-7.5,15,2,0.0408163265306122,30000000,80
9,-7.5,7.5,2,0.0408163265306122,30000000,40
10,-7.5,0,2,0.0408163265306122,30000000,0
11,-7.5,-7.5,2,0.0408163265306122,30000000,-40
12,0,15,2,0.0408163265306122,-0,80
13,0,7.5,2,0.0408163265306122,-0,40
14,0,0,2,0.0408163265306122,-0,0
15,0,-7.5,2,0.0408163265306122,-0,-40
16,0,-15,2,0.0408163265306122,-0,-80
17,7.5,22.5,2,0.0408163265306122,-30000000,120
18,7.5,15,2,0.0408163265306122,-30000000,80
19,7.5,7.5,2,0.0408163265306122,-30000000,40
20,7.5,0,2,0.0408163265306122,-30000000,0
21,7.5,-7.5,2,0.0408163265306122,-30000000,-40
22,15,22.5,2,0.0408163265306122,-60000000,120
23,15,15,1,0.0204081632653061,-60000000,80
24,15,7.5,1,0.0204081632653061,-60000000,40
25,15,0,1,0.0204081632653061,-60000000,0
26,22.5,15,1,0.0204081632653061,-90000000,80
27,22.5,7.5,1,0.0204081632653061,-90000000,40
