outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-22.5,22.5,"[0,1/10,5/6,14/15]T"
2,1,14,7.5,22.5,"[0,1/10,5/6,14/15]T"
3,1,15,7.5,7.5,"[0,1/10,5/6,14/15]T"
4,1,4,-15,-15,"[0,1/10,5/6,14/15]T"
5,1,5,-15,-22.5,"[0,1/10,5/6,14/15]T"
6,1,18,15,22.5,"[0,1/10,5/6,14/15]T"
7,1,19,15,15,"[0,1/10,5/6,14/15]T"
1,2,2,-22.5,-22.5,"[0,1/10,5/6,14/15]T"
2,2,13,0,-22.5,"[0,1/10,5/6,14/15]T"
3,2,16,7.5,0,"[0,1/10,5/6,14/15]T"
4,2,3,-15,22.5,"[0,1/10,5/6,14/15]T"
5,2,6,-7.5,22.5,"[0,1/10,5/6,14/15]T"
6,2,17,7.5,-22.5,"[0,1/10,5/6,14/15]T"
7,2,20,15,7.5,"[0,1/10,5/6,14/15]T"
1,3,3,-15,22.5,"[0,1/10,5/6,14/15]T"
2,3,12,0,-7.5,"[0,1/10,5/6,14/15]T"
3,3,17,7.5,-22.5,"[0,1/10,5/6,14/15]T"
4,3,2,-22.5,-22.5,"[0,1/10,5/6,14/15]T"
5,3,7,-7.5,-7.5,"[0,1/10,5/6,14/15]T"
6,3,16,7.5,0,"[0,1/10,5/6,14/15]T"
7,3,21,15,-22.5,"[0,1/10,5/6,14/15]T"
1,4,4,-15,-15,"[0,1/10,5/6,14/15]T"
2,4,11,0,0,"[0,1/10,5/6,14/15]T"
3,4,18,15,22.5,"[0,1/10,5/6,14/15]T"
4,4,1,-22.5,22.5,"[0,1/10,5/6,14/15]T"
5,4,8,-7.5,-15,"[0,1/10,5/6,14/15]T"
6,4,15,7.5,7.5,"[0,1/10,5/6,14/15]T"
7,4,22,22.5,22.5,"[0,1/10,5/6,14/15]T"
1,5,5,-15,-22.5,"[0,1/10,5/6,14/15]T"
2,5,10,0,22.5,"[0,1/10,5/6,14/15]T"
3,5,19,15,15,"[0,1/10,5/6,14/15]T"
4,5,24,22.5,-22.5,"[0,1/10,5/6,14/15]T"
5,5,9,-7.5,-22.5,"[0,1/10,5/6,14/15]T"
6,5,14,7.5,22.5,"[0,1/10,5/6,14/15]T"
7,5,23,22.5,15,"[0,1/10,5/6,14/15]T"
1,6,6,-7.5,22.5,"[0,1/10,5/6,14/15]T"
2,6,9,-7.5,-22.5,"[0,1/10,5/6,14/15]T"
3,6,20,15,7.5,"[0,1/10,5/6,14/15]T"
4,6,23,22.5,15,"[0,1/10,5/6,14/15]T"
5,6,10,0,22.5,"[0,1/10,5/6,14/15]T"
6,6,13,0,-22.5,"[0,1/10,5/6,14/15]T"
7,6,24,22.5,-22.5,"[0,1/10,5/6,14/15]T"
1,7,7,-7.5,-7.5,"[0,1/10,5/6,14/15]T"
2,7,8,-7.5,-15,"[0,1/10,5/6,14/15]T"
3,7,21,15,-22.5,"[0,1/10,5/6,14/15]T"
4,7,22,22.5,22.5,"[0,1/10,5/6,14/15]T"
5,7,11,0,0,"[0,1/10,5/6,14/15]T"
6,7,12,0,-7.5,"[0,1/10,5/6,14/15]T"
7,7,1,-22.5,22.5,"[0,1/10,5/6,14/15]T"
