channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-22.5,22.5,3,0.0612244897959184,90000000,120
2,-22.5,-22.5,2,0.0408163265306122,90000000,-120
3,-15,22.5,2,0.0408163265306122,60000000,120
4,-15,-15,2,0.0408163265306122,60000000,-80
5,-15,-22.5,2,0.0408163265306122,60000000,-120
6,-7.5,22.5,2,0.0408163265306122,30000000,120
7,-7.5,-7.5,2,0.0408163265306122,30000000,-40
8,-7.5,-15,2,0.0408163265306122,30000000,-80
9,-7.5,-22.5,2,0.0408163265306122,30000000,-120
10,0,22.5,2,0.0408163265306122,-0,120
11,0,0,2,0.0408163265306122,-0,0
12,0,-7.5,2,0.0408163265306122,-0,-40
13,0,-22.5,2,0.0408163265306122,-0,-120
14,7.5,22.5,2,0.0408163265306122,-30000000,120
15,7.5,7.5,2,0.0408163265306122,-30000000,40
16,7.5,0,2,0.0408163265306122,-30000000,0
17,7.5,-22.5,2,0.0408163265306122,-30000000,-120
18,15,22.5,2,0.0408163265306122,-60000000,120
19,15,15,2,0.0408163265306122,-60000000,80
20,15,7.5,2,0.0408163265306122,-60000000,40
21,15,-22.5,2,0.0408163265306122,-60000000,-120
22,22.5,22.5,2,0.0408163265306122,-90000000,120
23,22.5,15,2,0.0408163265306122,-90000000,80
24,22.5,-22.5,2,0.0408163265306122,-90000000,-120
