channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,28,0,4,0.0816326530612245,-112000000,0,1,22,0
2,22.8529777486175,14.1413274131039,4,0.0816326530612245,-91411910.9944701,75.4204128698873,1,16.8529777486175,14.1413274131039
3,9.82025990867247,21.6657705662686,4,0.0816326530612245,-39281039.6346899,115.550776353432,1,3.82025990867247,21.6657705662686
4,-4.99999999999999,19.0525588832577,4,0.0816326530612245,20000000,101.613647377374,1,-11,19.0525588832577
5,-14.67323765729,7.52444315316472,4,0.0816326530612245,58692950.6291599,40.1303634835452,1,-20.67323765729,7.52444315316472
6,-14.67323765729,-7.52444315316471,4,0.0816326530612245,58692950.6291599,-40.1303634835451,1,-20.67323765729,-7.52444315316471
7,-5.00000000000001,-19.0525588832576,4,0.0816326530612245,20000000,-101.613647377374,1,-11,-19.0525588832576
8,9.82025990867246,-21.6657705662686,3,0.0612244897959184,-39281039.6346898,-115.550776353432,1,3.82025990867246,-21.6657705662686
9,22.8529777486175,-14.1413274131039,3,0.0612244897959184,-91411910.9944701,-75.4204128698873,1,16.8529777486175,-14.1413274131039
10,-2,7,3,0.0612244897959184,8000000,37.3333333333333,1,-8,7
11,-5.78200123147645,-5.22618261740699,3,0.0612244897959184,23128004.9259058,-27.872973959504,1,-11.7820012314764,-5.22618261740699
12,1.2003200849351,-10.2934752422682,3,0.0612244897959184,-4801280.33974039,-54.8985346254305,1,-4.7996799150649,-10.2934752422682
13,10.7996799150649,-10.2934752422682,3,0.0612244897959184,-43198719.6602596,-54.8985346254305,1,4.7996799150649,-10.2934752422682
14,17.7820012314764,-5.22618261740699,3,0.0612244897959184,-71128004.9259058,-27.872973959504,1,11.7820012314764,-5.22618261740699
1,14.67323765729,7.52444315316471,4,0.0816326530612245,-58692950.6291599,40.1303634835451,2,20.67323765729,7.52444315316471
2,5,19.0525588832576,4,0.0816326530612245,-20000000,101.613647377374,2,11,19.0525588832576
3,-9.82025990867247,21.6657705662686,4,0.0816326530612245,39281039.6346899,115.550776353432,2,-3.82025990867247,21.6657705662686
4,-22.8529777486175,14.1413274131039,4,0.0816326530612245,91411910.9944701,75.4204128698873,2,-16.8529777486175,14.1413274131039
5,-28,2.69422295812418e-15,4,0.0816326530612245,112000000,1.43691891099956e-14,2,-22,2.69422295812418e-15
6,-22.8529777486175,-14.1413274131039,4,0.0816326530612245,91411910.9944701,-75.4204128698873,2,-16.8529777486175,-14.1413274131039
7,-9.82025990867247,-21.6657705662686,4,0.0816326530612245,39281039.6346899,-115.550776353432,2,-3.82025990867247,-21.6657705662686
8,5,-19.0525588832576,4,0.0816326530612245,-20000000,-101.613647377374,2,11,-19.0525588832576
9,14.67323765729,-7.52444315316473,4,0.0816326530612245,-58692950.6291599,-40.1303634835452,2,20.67323765729,-7.52444315316473
10,2,7,4,0.0816326530612245,-8000000,37.3333333333333,2,8,7
11,-14.9211412922935,-8.27373641573049,3,0.0612244897959184,59684565.1691741,-44.1265942172293,2,-8.92114129229354,-8.27373641573049
12,-6,-11,3,0.0612244897959184,24000000,-58.6666666666667,2,-2.38806125833734e-15,-11
13,2.92114129229354,-8.27373641573049,3,0.0612244897959184,-11684565.1691741,-44.1265942172293,2,8.92114129229354,-8.27373641573049
