outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,28,0,"[0,1/10,5/6,14/15]T"
2,1,14,17.7820012314764,-5.22618261740699,"[0,1/10,5/6,14/15]T"
3,1,1,28,0,"[0,1/10,5/6,14/15]T"
4,1,14,17.7820012314764,-5.22618261740699,"[0,1/10,5/6,14/15]T"
5,1,1,28,0,"[0,1/10,5/6,14/15]T"
6,1,14,17.7820012314764,-5.22618261740699,"[0,1/10,5/6,14/15]T"
7,1,1,28,0,"[0,1/10,5/6,14/15]T"
1,2,2,22.8529777486175,14.1413274131039,"[0,1/10,5/6,14/15]T"
2,2,13,10.7996799150649,-10.2934752422682,"[0,1/10,5/6,14/15]T"
3,2,2,22.8529777486175,14.1413274131039,"[0,1/10,5/6,14/15]T"
4,2,13,10.7996799150649,-10.2934752422682,"[0,1/10,5/6,14/15]T"
5,2,2,22.8529777486175,14.1413274131039,"[0,1/10,5/6,14/15]T"
6,2,13,10.7996799150649,-10.2934752422682,"[0,1/10,5/6,14/15]T"
7,2,2,22.8529777486175,14.1413274131039,"[0,1/10,5/6,14/15]T"
1,3,3,9.82025990867247,21.6657705662686,"[0,1/10,5/6,14/15]T"
2,3,12,1.2003200849351,-10.2934752422682,"[0,1/10,5/6,14/15]T"
3,3,3,9.82025990867247,21.6657705662686,"[0,1/10,5/6,14/15]T"
4,3,12,1.2003200849351,-10.2934752422682,"[0,1/10,5/6,14/15]T"
5,3,3,9.82025990867247,21.6657705662686,"[0,1/10,5/6,14/15]T"
6,3,12,1.2003200849351,-10.2934752422682,"[0,1/10,5/6,14/15]T"
7,3,3,9.82025990867247,21.6657705662686,"[0,1/10,5/6,14/15]T"
1,4,4,-4.99999999999999,19.0525588832577,"[0,1/10,5/6,14/15]T"
2,4,11,-5.78200123147645,-5.22618261740699,"[0,1/10,5/6,14/15]T"
3,4,4,-4.99999999999999,19.0525588832577,"[0,1/10,5/6,14/15]T"
4,4,11,-5.78200123147645,-5.22618261740699,"[0,1/10,5/6,14/15]T"
5,4,4,-4.99999999999999,19.0525588832577,"[0,1/10,5/6,14/15]T"
6,4,11,-5.78200123147645,-5.22618261740699,"[0,1/10,5/6,14/15]T"
7,4,4,-4.99999999999999,19.0525588832577,"[0,1/10,5/6,14/15]T"
1,5,5,-14.67323765729,7.52444315316472,"[0,1/10,5/6,14/15]T"
2,5,10,-2,7,"[0,1/10,5/6,14/15]T"
3,5,5,-14.67323765729,7.52444315316472,"[0,1/10,5/6,14/15]T"
4,5,10,-2,7,"[0,1/10,5/6,14/15]T"
5,5,5,-14.67323765729,7.52444315316472,"[0,1/10,5/6,14/15]T"
6,5,10,-2,7,"[0,1/10,5/6,14/15]T"
7,5,5,-14.67323765729,7.52444315316472,"[0,1/10,5/6,14/15]T"
1,6,6,-14.67323765729,-7.52444315316471,"[0,1/10,5/6,14/15]T"
2,6,9,22.8529777486175,-14.1413274131039,"[0,1/10,5/6,14/15]T"
3,6,6,-14.67323765729,-7.52444315316471,"[0,1/10,5/6,14/15]T"
4,6,9,22.8529777486175,-14.1413274131039,"[0,1/10,5/6,14/15]T"
5,6,6,-14.67323765729,-7.52444315316471,"[0,1/10,5/6,14/15]T"
6,6,9,22.8529777486175,-14.1413274131039,"[0,1/10,5/6,14/15]T"
7,6,6,-14.67323765729,-7.52444315316471,"[0,1/10,5/6,14/15]T"
1,7,7,-5.00000000000001,-19.0525588832576,"[0,1/10,5/6,14/15]T"
2,7,8,9.82025990867246,-21.6657705662686,"[0,1/10,5/6,14/15]T"
3,7,7,-5.00000000000001,-19.0525588832576,"[0,1/10,5/6,14/15]T"
4,7,8,9.82025990867246,-21.6657705662686,"[0,1/10,5/6,14/15]T"
5,7,7,-5.00000000000001,-19.0525588832576,"[0,1/10,5/6,14/15]T"
6,7,8,9.82025990867246,-21.6657705662686,"[0,1/10,5/6,14/15]T"
7,7,7,-5.00000000000001,-19.0525588832576,"[0,1/10,5/6,14/15]T"
