range_order,azimuth_order,source_id,center_range_m,center_azimuth_m,roi_peak_db
1,1,1,-4,4,-5.3172604697583
1,1,2,4,4,-5.40883095928967
1,1,3,-4,-4,-3.93507627385823
1,1,4,4,-4,-4.80656509502843
-3,1,1,-36,4,-38.6003585393225
-3,1,2,36,4,-39.0170053327683
-3,1,3,-36,-4,-39.6338105588462
-3,1,4,36,-4,-37.6163844505256
5,1,1,28,4,-39.9699485433546
5,1,2,-28,4,-39.9451196628512
5,1,3,28,-4,-39.9406909383319
5,1,4,-28,-4,-39.1316344414064
1,-3,1,-4,36,-38.8092088881652
1,-3,2,4,36,-38.9002128706811
1,-3,3,-4,-36,-39.0620513071359
1,-3,4,4,-36,-39.4788849377531
1,5,1,-4,-28,-35.9484063234887
1,5,2,4,-28,-38.4162040524884
1,5,3,-4,28,-37.3076795785709
1,5,4,4,28,-36.1894822341918
-7,1,1,-68,4,-30.2850689034071
-7,1,2,68,4,-31.1318397187387
-7,1,3,-68,-4,-30.7549317486239
-7,1,4,68,-4,-30.358148962718
1,-7,1,-4,68,-30.228031377476
1,-7,2,4,68,-31.187255868808
1,-7,3,-4,-68,-30.9421042763594
1,-7,4,4,-68,-33.4037314385051
-11,1,1,-100,4,-32.491529768952
-11,1,2,100,4,-32.4193420412865
-11,1,3,-100,-4,-30.9500289180763
-11,1,4,100,-4,-33.2736607584395
1,-11,1,-4,100,-32.2312332730636
1,-11,2,4,100,-33.2154813181958
1,-11,3,-4,-100,-33.3680191467241
1,-11,4,4,-100,-32.9370155577734
13,1,1,92,4,-38.0527606055626
13,1,2,-92,4,-37.3543886998421
13,1,3,92,-4,-38.649296615469
13,1,4,-92,-4,-38.0018551407947
1,13,1,-4,-92,-32.0379413048281
1,13,2,4,-92,-34.7550368576995
1,13,3,-4,92,-36.4933779453165
1,13,4,4,92,-35.64893114381
