cell_id,range_group,azimuth_group,range_delay_fraction,azimuth_delay_fraction,amplitude_weight,allowed_phase_states_deg,instantaneous_state_rule
P11,1,1,0,0,0.0625,0/90/180/270,"mod(q_r(tau-d_1*T_r)+q_a(eta-d_1*T_a),4)"
P12,1,2,0,0.1,0.0625,0/90/180/270,"mod(q_r(tau-d_1*T_r)+q_a(eta-d_2*T_a),4)"
P13,1,3,0,0.833333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_1*T_r)+q_a(eta-d_3*T_a),4)"
P14,1,4,0,0.933333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_1*T_r)+q_a(eta-d_4*T_a),4)"
P21,2,1,0.1,0,0.0625,0/90/180/270,"mod(q_r(tau-d_2*T_r)+q_a(eta-d_1*T_a),4)"
P22,2,2,0.1,0.1,0.0625,0/90/180/270,"mod(q_r(tau-d_2*T_r)+q_a(eta-d_2*T_a),4)"
P23,2,3,0.1,0.833333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_2*T_r)+q_a(eta-d_3*T_a),4)"
P24,2,4,0.1,0.933333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_2*T_r)+q_a(eta-d_4*T_a),4)"
P31,3,1,0.833333333333333,0,0.0625,0/90/180/270,"mod(q_r(tau-d_3*T_r)+q_a(eta-d_1*T_a),4)"
P32,3,2,0.833333333333333,0.1,0.0625,0/90/180/270,"mod(q_r(tau-d_3*T_r)+q_a(eta-d_2*T_a),4)"
P33,3,3,0.833333333333333,0.833333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_3*T_r)+q_a(eta-d_3*T_a),4)"
P34,3,4,0.833333333333333,0.933333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_3*T_r)+q_a(eta-d_4*T_a),4)"
P41,4,1,0.933333333333333,0,0.0625,0/90/180/270,"mod(q_r(tau-d_4*T_r)+q_a(eta-d_1*T_a),4)"
P42,4,2,0.933333333333333,0.1,0.0625,0/90/180/270,"mod(q_r(tau-d_4*T_r)+q_a(eta-d_2*T_a),4)"
P43,4,3,0.933333333333333,0.833333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_4*T_r)+q_a(eta-d_3*T_a),4)"
P44,4,4,0.933333333333333,0.933333333333333,0.0625,0/90/180/270,"mod(q_r(tau-d_4*T_r)+q_a(eta-d_4*T_a),4)"
