outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-22.5,7.5,"[0,1/10,5/6,14/15]T"
2,1,14,0,-7.5,"[0,1/10,5/6,14/15]T"
3,1,15,0,-15,"[0,1/10,5/6,14/15]T"
4,1,3,-22.5,-7.5,"[0,1/10,5/6,14/15]T"
5,1,4,-15,7.5,"[0,1/10,5/6,14/15]T"
6,1,17,7.5,15,"[0,1/10,5/6,14/15]T"
7,1,18,7.5,7.5,"[0,1/10,5/6,14/15]T"
1,2,2,-22.5,0,"[0,1/10,5/6,14/15]T"
2,2,13,0,0,"[0,1/10,5/6,14/15]T"
3,2,16,0,-22.5,"[0,1/10,5/6,14/15]T"
4,2,2,-22.5,0,"[0,1/10,5/6,14/15]T"
5,2,5,-15,0,"[0,1/10,5/6,14/15]T"
6,2,16,0,-22.5,"[0,1/10,5/6,14/15]T"
7,2,19,7.5,0,"[0,1/10,5/6,14/15]T"
1,3,3,-22.5,-7.5,"[0,1/10,5/6,14/15]T"
2,3,12,0,7.5,"[0,1/10,5/6,14/15]T"
3,3,17,7.5,15,"[0,1/10,5/6,14/15]T"
4,3,1,-22.5,7.5,"[0,1/10,5/6,14/15]T"
5,3,6,-15,-7.5,"[0,1/10,5/6,14/15]T"
6,3,15,0,-15,"[0,1/10,5/6,14/15]T"
7,3,20,7.5,-7.5,"[0,1/10,5/6,14/15]T"
1,4,4,-15,7.5,"[0,1/10,5/6,14/15]T"
2,4,11,0,15,"[0,1/10,5/6,14/15]T"
3,4,18,7.5,7.5,"[0,1/10,5/6,14/15]T"
4,4,25,22.5,0,"[0,1/10,5/6,14/15]T"
5,4,7,-7.5,7.5,"[0,1/10,5/6,14/15]T"
6,4,14,0,-7.5,"[0,1/10,5/6,14/15]T"
7,4,21,7.5,-15,"[0,1/10,5/6,14/15]T"
1,5,5,-15,0,"[0,1/10,5/6,14/15]T"
2,5,10,0,22.5,"[0,1/10,5/6,14/15]T"
3,5,19,7.5,0,"[0,1/10,5/6,14/15]T"
4,5,24,15,-7.5,"[0,1/10,5/6,14/15]T"
5,5,8,-7.5,0,"[0,1/10,5/6,14/15]T"
6,5,13,0,0,"[0,1/10,5/6,14/15]T"
7,5,22,15,7.5,"[0,1/10,5/6,14/15]T"
1,6,6,-15,-7.5,"[0,1/10,5/6,14/15]T"
2,6,9,-7.5,-7.5,"[0,1/10,5/6,14/15]T"
3,6,20,7.5,-7.5,"[0,1/10,5/6,14/15]T"
4,6,23,15,0,"[0,1/10,5/6,14/15]T"
5,6,9,-7.5,-7.5,"[0,1/10,5/6,14/15]T"
6,6,12,0,7.5,"[0,1/10,5/6,14/15]T"
7,6,23,15,0,"[0,1/10,5/6,14/15]T"
1,7,7,-7.5,7.5,"[0,1/10,5/6,14/15]T"
2,7,8,-7.5,0,"[0,1/10,5/6,14/15]T"
3,7,21,7.5,-15,"[0,1/10,5/6,14/15]T"
4,7,22,15,7.5,"[0,1/10,5/6,14/15]T"
5,7,10,0,22.5,"[0,1/10,5/6,14/15]T"
6,7,11,0,15,"[0,1/10,5/6,14/15]T"
7,7,24,15,-7.5,"[0,1/10,5/6,14/15]T"
