channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-12,-12,1,0.0625,48000000,-64
2,-12,-4,1,0.0625,48000000,-21.3333333333333
3,-12,4,1,0.0625,48000000,21.3333333333333
4,-12,12,1,0.0625,48000000,64
5,-4,-12,1,0.0625,16000000,-64
6,-4,-4,1,0.0625,16000000,-21.3333333333333
7,-4,4,1,0.0625,16000000,21.3333333333333
8,-4,12,1,0.0625,16000000,64
9,4,-12,1,0.0625,-16000000,-64
10,4,-4,1,0.0625,-16000000,-21.3333333333333
11,4,4,1,0.0625,-16000000,21.3333333333333
12,4,12,1,0.0625,-16000000,64
13,12,-12,1,0.0625,-48000000,-64
14,12,-4,1,0.0625,-48000000,-21.3333333333333
15,12,4,1,0.0625,-48000000,21.3333333333333
16,12,12,1,0.0625,-48000000,64
