frequency_GHz,phase_Cy0p7_deg_unwrapped,phase_Cy2p5_deg_unwrapped,signed_phase_diff_deg_2p5_minus_0p7,abs_phase_diff_deg,error_to_180_deg,magnitude_Cy0p7_dB,magnitude_Cy2p5_dB
3,64.6905843679,63.5568416541,-1.13374271379,1.13374271379,178.866257286,-0.00563915976354,-0.0133299901266
3.006,64.4413821265,63.296578897,-1.14480322954,1.14480322954,178.85519677,-0.005701229571,-0.0134969198392
3.012,64.1920223902,63.0360331147,-1.15598927558,1.15598927558,178.844010724,-0.00576395909821,-0.0136660363892
3.018,63.9425041966,62.7752020789,-1.16730211777,1.16730211777,178.832697882,-0.0058273554534,-0.0138373702336
3.024,63.6928265758,62.5140835344,-1.1787430414,1.1787430414,178.821256959,-0.00589142583974,-0.014010952323
3.03,63.44298855,62.2526751985,-1.19031335149,1.19031335149,178.809686649,-0.0059561775578,-0.0141868141109
3.036,63.1929891341,61.9909747609,-1.20201437312,1.20201437312,178.797985627,-0.00602161800773,-0.0143649875627
3.042,62.9428273347,61.728979883,-1.21384745169,1.21384745169,178.786152548,-0.00608775469214,-0.0145455051658
3.048,62.6925021507,61.4666881974,-1.22581395327,1.22581395327,178.774186047,-0.00615459521923,-0.014728399939
3.054,62.4420125731,61.2040973082,-1.23791526492,1.23791526492,178.762084735,-0.0062221473059,-0.0149137054423
3.06,62.1913575846,60.9412047896,-1.25015279501,1.25015279501,178.749847205,-0.00629041878209,-0.0151014557875
3.066,61.9405361598,60.6780081862,-1.26252797355,1.26252797355,178.737472026,-0.00635941759507,-0.0152916856482
3.072,61.6895472651,60.4145050126,-1.27504225251,1.27504225251,178.724957747,-0.00642915181489,-0.0154844302707
3.078,61.4383898585,60.1506927522,-1.28769710621,1.28769710621,178.712302894,-0.00649962964057,-0.0156797254846
3.084,61.1870628895,59.8865688579,-1.3004940316,1.3004940316,178.699505968,-0.0065708594079,-0.0158776077145
3.09,60.935565299,59.6221307504,-1.31343454864,1.31343454864,178.686565451,-0.00664284959825,-0.01607811399
3.096,60.6838960196,59.3573758189,-1.32652020064,1.32652020064,178.673479799,-0.00671560884999,-0.0162812819589
3.102,60.4320539745,59.0923014199,-1.3397525546,1.3397525546,178.660247445,-0.00678914597245,-0.0164871498977
3.108,60.1800380785,58.826904877,-1.35313320155,1.35313320155,178.646866798,-0.00686346996338,-0.0166957567242
3.114,59.9278472371,58.5611834802,-1.36666375685,1.36666375685,178.633336243,-0.00693859003087,-0.0169071420103
3.12,59.6754803464,58.2951344859,-1.38034586053,1.38034586053,178.619654139,-0.00701451562195,-0.0171213459934
3.126,59.4229362933,58.0287551158,-1.39418117747,1.39418117747,178.605818823,-0.00709125645928,-0.0173384095906
3.132,59.1702139544,57.7620425567,-1.40817139767,1.40817139767,178.591828602,-0.00716882258903,-0.0175583744109
3.138,58.9173121964,57.4949939602,-1.42231823621,1.42231823621,178.577681764,-0.00724722444353,-0.017781282769
3.144,58.6642298747,57.2276064415,-1.43662343321,1.43662343321,178.563376567,-0.00732647292374,-0.0180071776995
3.15,58.4109658331,56.9598770798,-1.45108875333,1.45108875333,178.548911247,-0.00740657950663,-0.01823610297
3.156,58.1575189017,56.6918029169,-1.46571598482,1.46571598482,178.534284015,-0.00748755638239,-0.0184681030963
3.162,57.9038878945,56.423380957,-1.48050693755,1.48050693755,178.519493062,-0.00756941662101,-0.0187032233566
3.168,57.6500716059,56.1546081663,-1.49546343959,1.49546343959,178.50453656,-0.00765217434929,-0.018941509807
3.174,57.396068803,55.8854814722,-1.51058733085,1.51058733085,178.489412669,-0.00773584486524,-0.0191830092964
3.18,57.1418782149,55.6159977627,-1.52588045216,1.52588045216,178.474119548,-0.00782044446866,-0.0194277694823
3.186,56.8874985123,55.346153886,-1.54134462636,1.54134462636,178.458655374,-0.00790598939337,-0.0196758388471
3.192,56.6329282781,55.0759466495,-1.5569816285,1.5569816285,178.443018371,-0.00799249223783,-0.0199272667142
3.198,56.378165969,54.8053728199,-1.5727931491,1.5727931491,178.427206851,-0.00807995209204,-0.0201821032651
3.204,56.1232099127,54.5344291216,-1.58878079105,1.58878079105,178.411219209,-0.00816833130063,-0.0204403995561
3.21,55.8680584927,54.263112237,-1.60494625572,1.60494625572,178.395053744,-0.00825751565238,-0.0207022075369
3.216,55.612710808,53.9914188052,-1.62129200287,1.62129200287,178.378707997,-0.00834730042694,-0.020967580067
3.222,55.3571674875,53.7193454215,-1.63782206602,1.63782206602,178.362177934,-0.00843753865716,-0.0212365709356
3.228,55.1014296927,53.4468886369,-1.65454105581,1.65454105581,178.345458944,-0.00852841722714,-0.0215092348793
3.234,54.8454964966,53.1740449574,-1.67145153924,1.67145153924,178.328548461,-0.00862035549561,-0.0217856276022
3.24,54.5893650005,52.9008108428,-1.68855415768,1.68855415768,178.311445842,-0.00871359329521,-0.0220658057948
3.246,54.3330323999,52.6271827068,-1.70584969312,1.70584969312,178.294150307,-0.00880812600206,-0.0223498271549
3.252,54.0764966913,52.3531569155,-1.72333977585,1.72333977585,178.276660224,-0.00890387063885,-0.0226377504073
3.258,53.8197563741,52.0787297871,-1.74102658703,1.74102658703,178.258973413,-0.00900075943964,-0.0229296353259
3.264,53.5628101332,51.8038975911,-1.75891254206,1.75891254206,178.241087458,-0.00909875451821,-0.0232255427546
3.27,53.30565669,51.5286565473,-1.77700014268,1.77700014268,178.222999857,-0.00919783966653,-0.0235255346295
3.276,53.048294752,51.2530028253,-1.79529192669,1.79529192669,178.204708073,-0.00929801154762,-0.0238296740018
3.282,52.7907229994,50.9769325434,-1.81379045603,1.81379045603,178.186209544,-0.0093992740358,-0.0241380250604
3.288,52.5329400852,50.700441768,-1.83249831719,1.83249831719,178.167501683,-0.00950163502051,-0.0244506531563
3.294,52.2749446375,50.4235265128,-1.85141812473,1.85141812473,178.148581875,-0.00960510466735,-0.0247676248263
3.3,52.0167352627,50.1461827376,-1.87055252508,1.87055252508,178.129447475,-0.00970969447657,-0.025089007818
3.306,51.7583105477,49.868406348,-1.88990419964,1.88990419964,178.1100958,-0.00981541676864,-0.0254148711151
3.312,51.4996690614,49.590193194,-1.90947586749,1.90947586749,178.090524133,-0.00992228439995,-0.0257452849638
3.318,51.2408093565,49.3115390691,-1.92927028743,1.92927028743,178.070729713,-0.0100303106037,-0.026080320899
3.324,50.9817299697,49.0324397099,-1.94929025971,1.94929025971,178.05070974,-0.0101395089012,-0.0264200517718
3.33,50.7224294223,48.7528907947,-1.96953862762,1.96953862762,178.030461372,-0.010249893051,-0.0267645517777
3.336,50.4629062213,48.4728879426,-1.9900182787,1.9900182787,178.009981721,-0.0103614770214,-0.0271138964847
3.342,50.2031588586,48.1924267126,-2.010732146,2.010732146,177.989267854,-0.0104742749759,-0.0274681628631
3.348,49.9431858118,47.9115026026,-2.03168320919,2.03168320919,177.968316791,-0.010588301266,-0.0278274293152
3.354,49.6829855441,47.6301110485,-2.0528744956,2.0528744956,177.947125504,-0.0107035704287,-0.0281917757063
3.36,49.422556504,47.3482474227,-2.07430908131,2.07430908131,177.925690919,-0.0108200971865,-0.0285612833962
3.366,49.1618971259,47.0659070338,-2.09599009208,2.09599009208,177.904009908,-0.0109378964496,-0.0289360352713
3.3675,49.0966961061,46.9952015565,-2.10149454959,2.10149454959,177.89850545,-0.0109675468597,-0.029031055398
3.372,48.9010058292,46.7830851247,-2.11792070446,2.11792070446,177.882079296,-0.0110569833181,-0.029316115778
3.378,48.639881019,46.4997768723,-2.1401041467,2.1401041467,177.859895853,-0.0111773730854,-0.0297016109566
3.384,48.3785210853,46.2159773855,-2.16254369984,2.16254369984,177.8374563,-0.0112990812426,-0.0300926084756
3.39,48.1169244036,45.9316817049,-2.18524269871,2.18524269871,177.814757301,-0.0114221234811,-0.0304891976677
3.396,47.855089334,45.6468848011,-2.20820453294,2.20820453294,177.791795467,-0.0115465156978,-0.0308914695666
3.402,47.5930142216,45.3615815736,-2.23143264802,2.23143264802,177.768567352,-0.0116722739987,-0.0312995169436
3.408,47.3306973962,45.0757668498,-2.25493054643,2.25493054643,177.745069454,-0.0117994147029,-0.0317134343468
3.414,47.0681371721,44.7894353835,-2.27870178863,2.27870178863,177.721298211,-0.0119279543477,-0.0321333181399
