HarmonicOrder_k,Frequency_Hz,Magnitude,PowerPercent
-9,-225,0.0769884521611183,0.59272217661648
-8,-200,0,0
-7,-175,0.0956940427715471,0.915734982196269
-6,-150,0,0
-5,-125,0.130656296487638,1.70710678118655
-4,-100,0,0
-3,-75,0.214182878486559,4.58743054367882
-2,-50,0,0
-1,-25,0.637274742159119,40.6119096993971
0,0,6.12323399573677e-17,3.74939945665464e-31
1,25,0.637274742159119,40.6119096993971
2,50,0,0
3,75,0.214182878486559,4.58743054367882
4,100,0,0
5,125,0.130656296487638,1.70710678118655
6,150,0,0
7,175,0.0956940427715471,0.915734982196269
8,200,0,0
9,225,0.0769884521611183,0.59272217661648
