harmonic_order,spatial_offset_m,coefficient_real,coefficient_imag,amplitude,amplitude_db
-5,-40,2.33890309951163e-17,0.127323954473516,0.127323954473516,-17.9017976273234
-4,-32,0.0756826728640657,0.054986680468861,0.0935489283788639,-20.5792236612616
-3,-24,-0.062365952252576,0.0202639262611829,0.0655754428722311,-23.6651753532755
-2,-16,-0.0935489283788639,0.287913996792016,0.302730691456263,-10.3788709429824
-1,-8,0.302730691456263,0.416673050492137,0.515036214800484,-5.7632446488831
0,0,-0.4,0,0.4,-7.95880017344075
1,8,0.302730691456263,-0.416673050492137,0.515036214800484,-5.7632446488831
2,16,-0.0935489283788639,-0.287913996792016,0.302730691456263,-10.3788709429824
3,24,-0.062365952252576,-0.0202639262611829,0.0655754428722311,-23.6651753532755
4,32,0.0756826728640657,-0.054986680468861,0.0935489283788639,-20.5792236612616
5,40,2.33890309951163e-17,-0.127323954473516,0.127323954473516,-17.9017976273234
