scene,source_id,source_range_m,source_azimuth_m,range_order_nr,azimuth_order_na,image_range_m,image_azimuth_m,meaning
four_aircraft,1,-12,12,1,1,-4,4,"(1,1) 中央目标"
four_aircraft,2,12,12,1,1,4,4,"(1,1) 中央目标"
four_aircraft,3,-12,-12,1,1,-4,-4,"(1,1) 中央目标"
four_aircraft,4,12,-12,1,1,4,-4,"(1,1) 中央目标"
single_aircraft,1,12,12,1,1,4,4,"(1,1) 中央目标"
four_aircraft,1,-12,12,-3,1,-36,4,"(-3,1) 距离负三阶"
four_aircraft,2,12,12,-3,1,36,4,"(-3,1) 距离负三阶"
four_aircraft,3,-12,-12,-3,1,-36,-4,"(-3,1) 距离负三阶"
four_aircraft,4,12,-12,-3,1,36,-4,"(-3,1) 距离负三阶"
single_aircraft,1,12,12,-3,1,36,4,"(-3,1) 距离负三阶"
four_aircraft,1,-12,12,5,1,28,4,"(5,1) 距离正五阶"
four_aircraft,2,12,12,5,1,-28,4,"(5,1) 距离正五阶"
four_aircraft,3,-12,-12,5,1,28,-4,"(5,1) 距离正五阶"
four_aircraft,4,12,-12,5,1,-28,-4,"(5,1) 距离正五阶"
single_aircraft,1,12,12,5,1,-28,4,"(5,1) 距离正五阶"
four_aircraft,1,-12,12,1,-3,-4,36,"(1,-3) 方位负三阶"
four_aircraft,2,12,12,1,-3,4,36,"(1,-3) 方位负三阶"
four_aircraft,3,-12,-12,1,-3,-4,-36,"(1,-3) 方位负三阶"
four_aircraft,4,12,-12,1,-3,4,-36,"(1,-3) 方位负三阶"
single_aircraft,1,12,12,1,-3,4,36,"(1,-3) 方位负三阶"
four_aircraft,1,-12,12,1,5,-4,-28,"(1,5) 方位正五阶"
four_aircraft,2,12,12,1,5,4,-28,"(1,5) 方位正五阶"
four_aircraft,3,-12,-12,1,5,-4,28,"(1,5) 方位正五阶"
four_aircraft,4,12,-12,1,5,4,28,"(1,5) 方位正五阶"
single_aircraft,1,12,12,1,5,4,-28,"(1,5) 方位正五阶"
