harmonic_order,spatial_offset_m,coefficient_real,coefficient_imag,amplitude,amplitude_db
-5,-40,3.89817183251938e-17,0.127323954473516,0.127323954473516,-17.9017976273234
-4,-32,-3.89817183251938e-17,9.54776731444245e-33,3.89817183251938e-17,-311.666313878839
-3,-24,3.89817183251938e-17,0.212206590789194,0.212206590789194,-13.4648226349963
-2,-16,-3.89817183251938e-17,4.77388365722123e-33,3.89817183251938e-17,-311.666313878839
-1,-8,3.89817183251938e-17,0.636619772367581,0.636619772367581,-3.92239754060305
0,0,0,0,0,-313.07119549054
1,8,3.89817183251938e-17,-0.636619772367581,0.636619772367581,-3.92239754060305
2,16,-3.89817183251938e-17,-4.77388365722123e-33,3.89817183251938e-17,-311.666313878839
3,24,3.89817183251938e-17,-0.212206590789194,0.212206590789194,-13.4648226349963
4,32,-3.89817183251938e-17,-9.54776731444245e-33,3.89817183251938e-17,-311.666313878839
5,40,3.89817183251938e-17,-0.127323954473516,0.127323954473516,-17.9017976273234
