channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,0,0,13,0.26530612244898,-0,0,1,-12,12
2,8,0,12,0.244897959183673,-32000000,0,1,-4,12
3,0,-8,12,0.244897959183673,-0,-42.6666666666667,1,-12,4
4,8,-8,12,0.244897959183673,-32000000,-42.6666666666667,1,-4,4
1,0,0,13,0.26530612244898,-0,0,2,12,12
2,-8,0,12,0.244897959183673,32000000,0,2,4,12
3,0,-8,12,0.244897959183673,-0,-42.6666666666667,2,12,4
4,-8,-8,12,0.244897959183673,32000000,-42.6666666666667,2,4,4
1,0,0,13,0.26530612244898,-0,0,3,-12,-12
2,8,0,12,0.244897959183673,-32000000,0,3,-4,-12
3,0,8,12,0.244897959183673,-0,42.6666666666667,3,-12,-4
4,8,8,12,0.244897959183673,-32000000,42.6666666666667,3,-4,-4
1,0,0,13,0.26530612244898,-0,0,4,12,-12
2,-8,0,12,0.244897959183673,32000000,0,4,4,-12
3,0,8,12,0.244897959183673,-0,42.6666666666667,4,12,-4
4,-8,8,12,0.244897959183673,32000000,42.6666666666667,4,4,-4
