outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,7.51292259362905,-7.40779881161892,"[0,1/10,5/6,14/15]T"
2,1,4,-10.5580614492743,-7.40779881161891,"[0,1/10,5/6,14/15]T"
3,1,1,7.51292259362905,-7.40779881161892,"[0,1/10,5/6,14/15]T"
4,1,4,-10.5580614492743,-7.40779881161891,"[0,1/10,5/6,14/15]T"
1,2,2,-0.778115359450846,-0.913445609864562,"[0,1/10,5/6,14/15]T"
2,2,3,-7.12380108295854,-0.91344560986456,"[0,1/10,5/6,14/15]T"
3,2,2,-0.778115359450846,-0.913445609864562,"[0,1/10,5/6,14/15]T"
4,2,3,-7.12380108295854,-0.91344560986456,"[0,1/10,5/6,14/15]T"
1,3,3,-7.12380108295854,-0.91344560986456,"[0,1/10,5/6,14/15]T"
2,3,2,-0.778115359450846,-0.913445609864562,"[0,1/10,5/6,14/15]T"
3,3,3,-7.12380108295854,-0.91344560986456,"[0,1/10,5/6,14/15]T"
4,3,2,-0.778115359450846,-0.913445609864562,"[0,1/10,5/6,14/15]T"
1,4,4,-10.5580614492743,-7.40779881161891,"[0,1/10,5/6,14/15]T"
2,4,1,7.51292259362905,-7.40779881161892,"[0,1/10,5/6,14/15]T"
3,4,4,-10.5580614492743,-7.40779881161891,"[0,1/10,5/6,14/15]T"
4,4,1,7.51292259362905,-7.40779881161892,"[0,1/10,5/6,14/15]T"
