outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-28.6434890351652,14.0086104634372,"[0,1/10,5/6,14/15]T"
2,1,4,-20.8167787843871,-4.2602549156242,"[0,1/10,5/6,14/15]T"
3,1,1,-28.6434890351652,14.0086104634372,"[0,1/10,5/6,14/15]T"
4,1,4,-20.8167787843871,-4.2602549156242,"[0,1/10,5/6,14/15]T"
1,2,2,-22.9172747262183,6.59866044601628,"[0,1/10,5/6,14/15]T"
2,2,3,-25.1955399610762,-3.41210263328017,"[0,1/10,5/6,14/15]T"
3,2,2,-22.9172747262183,6.59866044601628,"[0,1/10,5/6,14/15]T"
4,2,3,-25.1955399610762,-3.41210263328017,"[0,1/10,5/6,14/15]T"
1,3,3,-25.1955399610762,-3.41210263328017,"[0,1/10,5/6,14/15]T"
2,3,2,-22.9172747262183,6.59866044601628,"[0,1/10,5/6,14/15]T"
3,3,3,-25.1955399610762,-3.41210263328017,"[0,1/10,5/6,14/15]T"
4,3,2,-22.9172747262183,6.59866044601628,"[0,1/10,5/6,14/15]T"
1,4,4,-20.8167787843871,-4.2602549156242,"[0,1/10,5/6,14/15]T"
2,4,1,-28.6434890351652,14.0086104634372,"[0,1/10,5/6,14/15]T"
3,4,4,-20.8167787843871,-4.2602549156242,"[0,1/10,5/6,14/15]T"
4,4,1,-28.6434890351652,14.0086104634372,"[0,1/10,5/6,14/15]T"
