channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,12,36,4,0.25,-48000000,192,1,1.46957615897682e-15,24
2,7.95897639048925,26.5619918363278,4,0.25,-31835905.561957,141.663956460415,1,-4.04102360951075,14.5619918363278
3,1.44443257081617,20.528492169843,4,0.25,-5777730.28326468,109.485291572496,1,-10.5555674291838,8.528492169843
4,-8.78039156410038,19.6017552491395,4,0.25,35121566.2564015,104.542694662077,1,-20.7803915641004,7.60175524913945
1,-28.6434890351652,14.0086104634372,4,0.25,114573956.140661,74.7125891383315,2,-16.6434890351652,2.00861046343715
2,-22.9172747262183,6.59866044601628,4,0.25,91669098.9048731,35.1928557120868,2,-10.9172747262183,-5.40133955398372
3,-25.1955399610762,-3.41210263328017,4,0.25,100782159.844305,-18.1978807108276,2,-13.1955399610762,-15.4121026332802
4,-20.8167787843871,-4.2602549156242,4,0.25,83267115.1375484,-22.7213595499957,2,-8.81677878438709,-16.2602549156242
1,12,-23,4,0.25,-48000000,-122.666666666667,3,1.01832076332973e-14,-11
2,20.8167787843871,-28.2602549156242,4,0.25,-83267115.1375484,-150.721359549996,3,8.81677878438711,-16.2602549156242
3,25.1955399610762,-27.4121026332801,4,0.25,-100782159.844305,-146.197880710827,3,13.1955399610762,-15.4121026332801
4,22.9172747262183,-17.4013395539837,4,0.25,-91669098.9048731,-92.807144287913,3,10.9172747262183,-5.40133955398369
1,4.6434890351652,-9.99138953656283,4,0.25,-18573956.1406608,-53.2874108616685,4,16.6434890351652,2.00861046343717
2,8.78039156410037,-4.39824475086056,4,0.25,-35121566.2564015,-23.457305337923,4,20.7803915641004,7.60175524913944
3,-1.44443257081619,-3.471507830157,4,0.25,5777730.28326477,-18.514708427504,4,10.5555674291838,8.528492169843
4,-7.95897639048924,2.56199183632776,4,0.25,31835905.561957,13.6639564604147,4,4.04102360951076,14.5619918363278
