outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-12,-12,"[0,1/10,5/6,14/15]T"
2,1,8,-4,12,"[0,1/10,5/6,14/15]T"
3,1,9,4,-12,"[0,1/10,5/6,14/15]T"
4,1,16,12,12,"[0,1/10,5/6,14/15]T"
1,2,2,-12,-4,"[0,1/10,5/6,14/15]T"
2,2,7,-4,4,"[0,1/10,5/6,14/15]T"
3,2,10,4,-4,"[0,1/10,5/6,14/15]T"
4,2,15,12,4,"[0,1/10,5/6,14/15]T"
1,3,3,-12,4,"[0,1/10,5/6,14/15]T"
2,3,6,-4,-4,"[0,1/10,5/6,14/15]T"
3,3,11,4,4,"[0,1/10,5/6,14/15]T"
4,3,14,12,-4,"[0,1/10,5/6,14/15]T"
1,4,4,-12,12,"[0,1/10,5/6,14/15]T"
2,4,5,-4,-12,"[0,1/10,5/6,14/15]T"
3,4,12,4,12,"[0,1/10,5/6,14/15]T"
4,4,13,12,-12,"[0,1/10,5/6,14/15]T"
