harmonic_order,spatial_offset_m,base_coefficient_real,base_coefficient_imag,partition_factor,coefficient_real,coefficient_imag,amplitude,amplitude_db
-15,-120,-0.0424413181578387,0.042441318157839,8.88178419700125e-16,2.15402645093827e-17,2.15402645093825e-17,3.04625342062727e-17,-311.954526771382
-14,-112,0,7.81601224113596e-19,0.154508497187474,-1.43475735880318e-20,6.75000267002159e-20,6.90080174501039e-20,-313.068496470216
-13,-104,-6.41847686111419e-17,-1.14491749414469e-16,0.50903696045513,-3.51023568748496e-18,-3.80177060706841e-17,3.8179414996286e-17,-311.693052369338
-12,-96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,3.07803838390064e-33,-4.04949563565796e-34,3.1045618759815e-33,-313.07119549054
-11,-88,-0.0578745247606891,0.0578745247606895,0.823639103546333,-0.0384685441356059,-0.00201605097039853,0.0385213362881962,-28.2859731160363
-10,-80,-1.04083408558608e-16,1.02852883539368e-16,0.5,-4.03185469362513e-17,-1.10606954727272e-17,4.1808183545702e-17,-311.572766234319
-9,-72,-4.85722573273506e-17,-1.38777878078145e-17,3.10316769155909e-16,-8.91430431402092e-33,-8.80425117434165e-34,8.95767658438174e-33,-313.07119549054
-8,-64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,3.48161082064059e-34,-9.45734932146636e-35,3.60777333937209e-34,-313.07119549054
-7,-56,-0.0909456817667973,0.0909456817667974,0.509036960455126,0.0235439947877888,0.0290744122169164,0.0374117780428384,-28.5398330181565
-6,-48,-4.85722573273506e-17,4.32689671308514e-17,0.309016994374947,4.61611001916323e-18,1.05181982630038e-17,1.14865558984787e-17,-312.633103238078
-5,-40,-6.93889390390723e-17,-4.16333634234434e-17,9.21071191875296e-16,4.25905650558777e-32,1.10053139679271e-34,4.25907072431593e-32,-313.07119549054
-4,-32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,-1.15830061551905e-34,-7.46560543324497e-35,1.37804679193443e-34,-313.07119549054
-3,-24,-0.212206590789194,0.212206590789194,1.96261557335472e-16,-1.76085023486833e-32,-3.36566632959102e-17,3.36566632959102e-17,-311.845342359302
-2,-16,-5.55111512312578e-17,6.96987201973555e-17,0.404508497187474,-5.16914163833542e-18,1.99368065545423e-17,2.05960258513727e-17,-312.3007294738
-1,-8,0,2.77555756156289e-17,0.823639103546332,2.71598931665382e-18,1.27777251161514e-17,1.3063187096268e-17,-312.574659542063
0,0,-4.59242549680257e-17,5.55111512312578e-17,1,0.428571428571429,3.1720657846433e-17,0.428571428571429,-7.35953570589188
1,8,0.636619772367581,-0.636619772367581,0.823639103546332,0.355373820811219,-0.230782457658417,0.423734699170157,-7.45811941287187
2,16,-2.77555756156289e-17,1.12261427095648e-17,0.404508497187474,-6.91641656630188e-18,-2.38918430327199e-19,6.92054189604868e-18,-312.804612422658
3,24,-1.38777878078145e-17,1.38777878078145e-17,1.96261557335472e-16,2.20106279358541e-33,0,2.20106279358541e-33,-313.07119549054
4,32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,8.6354618989643e-35,-1.07391849722226e-34,1.37804679193443e-34,-313.07119549054
5,40,0.127323954473516,-0.127323954473516,9.21071191875296e-16,-9.18826907978349e-17,2.3223097674178e-17,9.47720482728687e-17,-309.98383996325
6,48,-3.46944695195361e-17,3.07170018721617e-17,0.309016994374947,-7.0517299321442e-18,-4.15042062238808e-18,8.18247434329267e-18,-312.756871921235
7,56,2.08166817117217e-17,5.55111512312578e-17,0.509036960455126,-1.54255999566067e-17,7.70976940208629e-18,1.7244989946492e-17,-312.421523711653
8,64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,-3.60215861970647e-34,2.01200762320591e-35,3.60777333937209e-34,-313.07119549054
9,72,0.0707355302630647,-0.0707355302630645,3.10316769155909e-16,1.45845540948944e-17,-1.0096998988773e-17,1.77386190760777e-17,-312.40362409602
10,80,-9.71445146547012e-17,9.11583680418103e-17,0.5,8.67805861839673e-18,3.70596575857675e-17,3.80621455222727e-17,-311.696967531709
11,88,3.12250225675825e-17,1.75207071073658e-16,0.823639103546333,7.11143399266868e-17,4.42561056541368e-17,8.37606842789532e-17,-310.29110014615
12,96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,5.66036248763574e-34,-3.05252475942185e-33,3.1045618759815e-33,-313.07119549054
13,104,0.0489707517205832,-0.0489707517205832,0.50903696045513,0.00721925194633779,-0.0188067943006741,0.0201448035615285,-33.916739264008
14,112,3.46944695195361e-18,-4.10217717933145e-18,0.154508497187474,2.2432343697912e-19,-4.17956375333591e-19,4.74350646737325e-19,-313.052659743138
15,120,1.73472347597681e-17,1.33573707650214e-16,8.88178419700125e-16,-6.77927340424307e-32,8.80425117434165e-33,6.83620481531137e-32,-313.07119549054
