outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-9.08587257453548,15.7473392204685,"[0,1/10,5/6,14/15]T"
2,1,4,-17.752577111913,-10.9260346557804,"[0,1/10,5/6,14/15]T"
3,1,5,-12.7595304013634,-14.5536954353119,"[0,1/10,5/6,14/15]T"
4,1,8,9.93019664794382,1.93135621484342,"[0,1/10,5/6,14/15]T"
5,1,9,8.02302251192975,7.80103465578037,"[0,1/10,5/6,14/15]T"
6,1,2,-20.0230225119297,7.80103465578037,"[0,1/10,5/6,14/15]T"
7,1,3,-21.9301966479438,1.93135621484342,"[0,1/10,5/6,14/15]T"
1,2,2,-20.0230225119297,7.80103465578037,"[0,1/10,5/6,14/15]T"
2,2,3,-21.9301966479438,1.93135621484342,"[0,1/10,5/6,14/15]T"
3,2,6,0.759530401363437,-14.5536954353119,"[0,1/10,5/6,14/15]T"
4,2,7,5.75257711191299,-10.9260346557804,"[0,1/10,5/6,14/15]T"
5,2,10,-2.91412742546451,15.7473392204685,"[0,1/10,5/6,14/15]T"
6,2,1,-9.08587257453548,15.7473392204685,"[0,1/10,5/6,14/15]T"
7,2,4,-17.752577111913,-10.9260346557804,"[0,1/10,5/6,14/15]T"
1,3,3,-21.9301966479438,1.93135621484342,"[0,1/10,5/6,14/15]T"
2,3,2,-20.0230225119297,7.80103465578037,"[0,1/10,5/6,14/15]T"
3,3,7,5.75257711191299,-10.9260346557804,"[0,1/10,5/6,14/15]T"
4,3,6,0.759530401363437,-14.5536954353119,"[0,1/10,5/6,14/15]T"
5,3,1,-9.08587257453548,15.7473392204685,"[0,1/10,5/6,14/15]T"
6,3,10,-2.91412742546451,15.7473392204685,"[0,1/10,5/6,14/15]T"
7,3,5,-12.7595304013634,-14.5536954353119,"[0,1/10,5/6,14/15]T"
1,4,4,-17.752577111913,-10.9260346557804,"[0,1/10,5/6,14/15]T"
2,4,1,-9.08587257453548,15.7473392204685,"[0,1/10,5/6,14/15]T"
3,4,8,9.93019664794382,1.93135621484342,"[0,1/10,5/6,14/15]T"
4,4,5,-12.7595304013634,-14.5536954353119,"[0,1/10,5/6,14/15]T"
5,4,2,-20.0230225119297,7.80103465578037,"[0,1/10,5/6,14/15]T"
6,4,9,8.02302251192975,7.80103465578037,"[0,1/10,5/6,14/15]T"
7,4,6,0.759530401363437,-14.5536954353119,"[0,1/10,5/6,14/15]T"
1,5,5,-12.7595304013634,-14.5536954353119,"[0,1/10,5/6,14/15]T"
2,5,10,-2.91412742546451,15.7473392204685,"[0,1/10,5/6,14/15]T"
3,5,9,8.02302251192975,7.80103465578037,"[0,1/10,5/6,14/15]T"
4,5,4,-17.752577111913,-10.9260346557804,"[0,1/10,5/6,14/15]T"
5,5,3,-21.9301966479438,1.93135621484342,"[0,1/10,5/6,14/15]T"
6,5,8,9.93019664794382,1.93135621484342,"[0,1/10,5/6,14/15]T"
7,5,7,5.75257711191299,-10.9260346557804,"[0,1/10,5/6,14/15]T"
1,6,6,0.759530401363437,-14.5536954353119,"[0,1/10,5/6,14/15]T"
2,6,9,8.02302251192975,7.80103465578037,"[0,1/10,5/6,14/15]T"
3,6,10,-2.91412742546451,15.7473392204685,"[0,1/10,5/6,14/15]T"
4,6,3,-21.9301966479438,1.93135621484342,"[0,1/10,5/6,14/15]T"
5,6,4,-17.752577111913,-10.9260346557804,"[0,1/10,5/6,14/15]T"
6,6,7,5.75257711191299,-10.9260346557804,"[0,1/10,5/6,14/15]T"
7,6,8,9.93019664794382,1.93135621484342,"[0,1/10,5/6,14/15]T"
1,7,7,5.75257711191299,-10.9260346557804,"[0,1/10,5/6,14/15]T"
2,7,8,9.93019664794382,1.93135621484342,"[0,1/10,5/6,14/15]T"
3,7,1,-9.08587257453548,15.7473392204685,"[0,1/10,5/6,14/15]T"
4,7,2,-20.0230225119297,7.80103465578037,"[0,1/10,5/6,14/15]T"
5,7,5,-12.7595304013634,-14.5536954353119,"[0,1/10,5/6,14/15]T"
6,7,6,0.759530401363437,-14.5536954353119,"[0,1/10,5/6,14/15]T"
7,7,9,8.02302251192975,7.80103465578037,"[0,1/10,5/6,14/15]T"
