harmonic_order,spatial_offset_m,base_coefficient_real,base_coefficient_imag,partition_factor,coefficient_real,coefficient_imag,amplitude,amplitude_db
-15,-120,-0.0424413181578387,0.042441318157839,8.88178419700125e-16,2.16449553010766e-17,2.16449553010764e-17,3.06105893437418e-17,-311.949435375859
-14,-112,0,7.81601224113596e-19,0.154508497187474,-1.4417306196801e-20,6.7828092831044e-20,6.93434127734498e-20,-313.068483354386
-13,-104,-6.41847686111419e-17,-1.14491749414469e-16,0.50903696045513,-3.52729626503706e-18,-3.82024811343883e-17,3.83649760037021e-17,-311.686860826967
-12,-96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,3.09299838010377e-33,-4.06917714439122e-34,3.11965078264361e-33,-313.07119549054
-11,-88,-0.0578745247606891,0.0578745247606895,0.823639103546333,-0.038655510379178,-0.00202584945602504,0.0387085591141445,-28.2438598908116
-10,-80,-1.04083408558608e-16,1.02852883539368e-16,0.5,-4.05145046319828e-17,-1.11144530746926e-17,4.20113812284778e-17,-311.566079652018
-9,-72,-4.85722573273506e-17,-1.38777878078145e-17,3.10316769155909e-16,-8.95762994614716e-33,-8.84704192212065e-34,9.00121301602345e-33,-313.07119549054
-8,-64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,3.49853227455422e-34,-9.50331428105908e-35,3.62530797303393e-34,-313.07119549054
-7,-56,-0.0909456817667973,0.0909456817667974,0.509036960455126,0.0236584241836255,0.0292157207524591,0.0375936081526904,-28.4977197929319
-6,-48,-4.85722573273506e-17,4.32689671308514e-17,0.309016994374947,4.63854540811781e-18,1.05693191999295e-17,1.15423832830646e-17,-312.631027058831
-5,-40,-6.93889390390723e-17,-4.16333634234434e-17,9.21071191875296e-16,4.27975652982586e-32,1.10588024026508e-34,4.27977081766042e-32,-313.07119549054
-4,-32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,-1.16393023108878e-34,-7.50189004539263e-35,1.38474442601297e-34,-313.07119549054
-3,-24,-0.212206590789194,0.212206590789194,1.96261557335472e-16,-1.76940838442413e-32,-3.3820242657932e-17,3.3820242657932e-17,-311.839787525664
-2,-16,-5.55111512312578e-17,6.96987201973555e-17,0.404508497187474,-5.19426489205682e-18,2.00337041604716e-17,2.06961274193543e-17,-312.297146842696
-1,-8,0,2.77555756156289e-17,0.823639103546332,2.72918966856542e-18,1.28398278892104e-17,1.31266772822199e-17,-312.572314259095
0,0,-4.59242549680257e-17,5.55111512312578e-17,1,0.425794150255588,3.1874827763035e-17,0.425794150255588,-7.41600618764721
1,8,0.636619772367581,-0.636619772367581,0.823639103546332,0.357101021822693,-0.231904115110247,0.425794150255588,-7.41600618764721
2,16,-2.77555756156289e-17,1.12261427095648e-17,0.404508497187474,-6.95003199036948e-18,-2.40079630534853e-19,6.95417737019677e-18,-312.80333654044
3,24,-1.38777878078145e-17,1.38777878078145e-17,1.96261557335472e-16,2.21176048053016e-33,0,2.21176048053016e-33,-313.07119549054
4,32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,8.67743229085301e-35,-1.07913799569407e-34,1.38474442601297e-34,-313.07119549054
5,40,0.127323954473516,-0.127323954473516,9.21071191875296e-16,-9.23292624561543e-17,2.3335967433973e-17,9.52326628934468e-17,-309.971220859577
6,48,-3.46944695195361e-17,3.07170018721617e-17,0.309016994374947,-7.0860030112462e-18,-4.17059265048139e-18,8.22224310827888e-18,-312.755371675156
7,56,2.08166817117217e-17,5.55111512312578e-17,0.509036960455126,-1.55005720290763e-17,7.74724070900225e-18,1.73288046856038e-17,-312.41848188233
8,64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,-3.61966596449975e-34,2.02178645720658e-35,3.62530797303393e-34,-313.07119549054
9,72,0.0707355302630647,-0.0707355302630645,3.10316769155909e-16,1.46554384851039e-17,-1.01460727973796e-17,1.78248329697753e-17,-312.400501651662
10,80,-9.71445146547012e-17,9.11583680418103e-17,0.5,8.72023604043955e-18,3.7239776306727e-17,3.82471365722461e-17,-311.690792218227
11,88,3.12250225675825e-17,1.75207071073658e-16,0.823639103546333,7.14599724765784e-17,4.44712008186462e-17,8.41677810602471e-17,-310.279544930086
12,96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,5.68787319112999e-34,-3.06736075336194e-33,3.11965078264361e-33,-313.07119549054
13,104,0.0489707517205832,-0.0489707517205832,0.50903696045513,0.00725433922214032,-0.0188981997791772,0.020242712082218,-33.8746260387834
14,112,3.46944695195361e-18,-4.10217717933145e-18,0.154508497187474,2.2541370205932e-19,-4.19987742395408e-19,4.7665610332658e-19,-313.052569751534
15,120,1.73472347597681e-17,1.33573707650214e-16,8.88178419700125e-16,-6.8122222800329e-32,8.84704192212065e-33,6.86943039125474e-32,-313.07119549054
