harmonic_order,spatial_offset_m,base_coefficient_real,base_coefficient_imag,partition_factor,coefficient_real,coefficient_imag,amplitude,amplitude_db
-15,-120,-0.0424413181578387,0.042441318157839,8.88178419700125e-16,3.76954628914196e-17,3.76954628914194e-17,5.33094348609772e-17,-311.202170949922
-14,-112,0,7.81601224113596e-19,0.154508497187474,-2.51082537790556e-20,1.18125046725378e-19,1.20764030537682e-19,-313.066472755217
-13,-104,-6.41847686111419e-17,-1.14491749414469e-16,0.50903696045513,-6.14291245309868e-18,-6.65309856236972e-17,6.68139762435004e-17,-310.786294525492
-12,-96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,5.38656717182611e-33,-7.08661736240143e-34,5.43298328296762e-33,-313.07119549054
-11,-88,-0.0578745247606891,0.0578745247606895,0.823639103546333,-0.0673199522373103,-0.00352808919819744,0.0674123385043434,-23.4252121423104
-10,-80,-1.04083408558608e-16,1.02852883539368e-16,0.5,-7.05574571384398e-17,-1.93562170772727e-17,7.31643212049786e-17,-310.597410300774
-9,-72,-4.85722573273506e-17,-1.38777878078145e-17,3.10316769155909e-16,-1.56000325495366e-32,-1.54074395550979e-33,1.5675934022668e-32,-313.07119549054
-8,-64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,6.09281893612103e-34,-1.65503613125661e-34,6.31360334390115e-34,-313.07119549054
-7,-56,-0.0909456817667973,0.0909456817667974,0.509036960455126,0.0412019908786304,0.0508802213796037,0.0654706115749671,-23.6790720444307
-6,-48,-4.85722573273506e-17,4.32689671308514e-17,0.309016994374947,8.07819253353566e-18,1.84068469602566e-17,2.01014728223377e-17,-312.31845122419
-5,-40,-6.93889390390723e-17,-4.16333634234434e-17,9.21071191875296e-16,7.4533488847786e-32,1.92592994438724e-34,7.45337376755289e-32,-313.07119549054
-4,-32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,-2.02702607715833e-34,-1.30648095081787e-34,2.41158188588525e-34,-313.07119549054
-3,-24,-0.212206590789194,0.212206590789194,1.96261557335472e-16,-3.08148791101958e-32,-5.88991607678429e-17,5.88991607678429e-17,-311.027612014234
-2,-16,-5.55111512312578e-17,6.96987201973555e-17,0.404508497187474,-9.04599786708698e-18,3.48894114704489e-17,3.60430452399022e-17,-311.764655530474
-1,-8,0,2.77555756156289e-17,0.823639103546332,4.75298130414418e-18,2.23610189532649e-17,2.2860577418469e-17,-312.220040496822
0,0,-4.59242549680257e-17,5.55111512312578e-17,1,-4.59242549680257e-17,5.55111512312578e-17,7.20452989818754e-17,-310.630397690939
1,8,0.636619772367581,-0.636619772367581,0.823639103546332,0.621904186419633,-0.40386930090223,0.741535723547775,-2.59735843914598
2,16,-2.77555756156289e-17,1.12261427095648e-17,0.404508497187474,-1.21037289910283e-17,-4.18107253072598e-19,1.21109483180852e-17,-312.609910760265
3,24,-1.38777878078145e-17,1.38777878078145e-17,1.96261557335472e-16,3.85185988877447e-33,0,3.85185988877447e-33,-313.07119549054
4,32,2.49462415948171e-34,1.54074395550979e-33,0.154508497187474,1.51120583231875e-34,-1.87935737013896e-34,2.41158188588525e-34,-313.07119549054
5,40,0.127323954473516,-0.127323954473516,9.21071191875296e-16,-1.60794708896211e-16,4.06404209298114e-17,1.6585108447752e-16,-308.225700931798
6,48,-3.46944695195361e-17,3.07170018721617e-17,0.309016994374947,-1.23405273812524e-17,-7.26323608917914e-18,1.43193301007622e-17,-312.52837576852
7,56,2.08166817117217e-17,5.55111512312578e-17,0.509036960455126,-2.69947999240618e-17,1.3492096453651e-17,3.01787324063611e-17,-311.964294643495
8,64,2.49462415948171e-34,1.54074395550979e-33,0.404508497187474,-6.30377758448633e-34,3.52101334061035e-35,6.31360334390116e-34,-313.07119549054
9,72,0.0707355302630647,-0.0707355302630645,3.10316769155909e-16,2.55229696660653e-17,-1.76697482303528e-17,3.10425833831359e-17,-311.934596779798
10,80,-9.71445146547012e-17,9.11583680418103e-17,0.5,1.51866025821943e-17,6.48544007750931e-17,6.66087546639772e-17,-310.792467669077
11,88,3.12250225675825e-17,1.75207071073658e-16,0.823639103546333,1.24450094871702e-16,7.74481848947394e-17,1.46581197488168e-16,-308.668285381608
12,96,4.87169428247754e-33,-4.62223186652937e-33,0.809016994374947,9.90563435336255e-34,-5.34191832898824e-33,5.43298328296762e-33,-313.07119549054
13,104,0.0489707517205832,-0.0489707517205832,0.50903696045513,0.0126336909060911,-0.0329118900261797,0.0352534062326749,-29.0559782902822
14,112,3.46944695195361e-18,-4.10217717933145e-18,0.154508497187474,3.9256601471346e-19,-7.31423656833784e-19,8.30113631790319e-19,-313.038783844749
15,120,1.73472347597681e-17,1.33573707650214e-16,8.88178419700125e-16,-1.18637284574254e-31,1.54074395550979e-32,1.19633584267949e-31,-313.07119549054
