range_order,azimuth_order,maximum_roi_peak_db,mean_roi_peak_db
1,1,-3.93507627385823,-4.86693319948366
-3,1,-37.6163844505256,-38.7168897203656
5,1,-39.1316344414064,-39.746848396486
1,-3,-38.8092088881652,-39.0625895009339
1,5,-35.9484063234887,-36.9654430471849
-7,1,-30.2850689034071,-30.632497333372
1,-7,-30.228031377476,-31.4402807402871
-11,1,-30.9500289180763,-32.2836403716886
1,-11,-32.2312332730636,-32.9379373239392
13,1,-37.3543886998421,-38.0145752654171
1,13,-32.0379413048281,-34.7338218129135
